player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Jordan Turner,DEN,2026-wk01,defense,55,LB,1,2,2,0,0,91.5,75.5,73.2,-,-,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),0,2,0,0,0,0,0,0,0
Quandarrius Robinson,DEN,2026-wk01,defense,51,ED,1,32,17,15,0,75.0,70.4,73.3,66.8,-,3,0,1,2,0,2,1,0,0.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),32,0,0,0,0,0,0,0,32
Nik Bonitto,DEN,2026-wk01,defense,15,ED,1,36,16,19,1,72.9,62.1,72.8,73.0,60.0,2,0,1,1,0,2,0,0,0.0,2,0,1,0,0.0,0,0,0,0,0,39.6,0,0,0 (0),36,0,0,0,0,0,0,0,36
Zach Allen,DEN,2026-wk01,defense,99,DI,1,42,15,27,0,71.5,70.7,73.2,62.1,60.0,3,2,1,0,0,3,0,0,0.0,4,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),41,1,0,0,0,0,17,22,2
Pat Surtain II,DEN,2026-wk01,defense,02,CB,1,69,35,0,34,65.2,46.4,52.0,-,71.7,0,0,0,0,0,2,1,1,25.0,0,0,1,1,100.0,6,6.0,6,6,0,0,0,91.7,0 (0),0,15,0,0,54,0,0,0,0
Dondrea Tillman,DEN,2026-wk01,defense,92,ED,1,32,18,12,2,60.6,68.5,76.0,58.3,44.6,0,0,0,0,0,5,0,0,0.0,3,0,2,1,50.0,5,5.0,5,5,0,0,0,56.3,0 (0),32,0,0,0,0,0,0,0,32
Riley Moss,DEN,2026-wk01,defense,21,CB,1,69,35,0,34,58.2,53.9,26.3,-,59.7,0,0,0,0,0,4,0,3,42.9,1,0,5,3,60.0,28,9.3,17,13,1,0,0,115.0,0 (0),0,11,0,1,57,0,0,0,0
Talanoa Hufanga,DEN,2026-wk01,defense,09,S,1,69,35,2,32,57.2,53.4,61.3,57.3,61.0,0,0,0,0,0,4,4,1,11.1,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),4,39,21,5,0,0,0,0,4
Jonah Elliss,DEN,2026-wk01,defense,52,ED,1,40,19,18,3,57.1,60.1,28.5,60.2,49.5,3,0,1,2,0,1,0,1,50.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),39,1,0,0,0,0,0,0,39
Malcolm Roach,DEN,2026-wk01,defense,97,DI,1,32,14,18,0,56.5,52.9,25.2,63.3,59.6,1,0,0,1,1,2,0,2,50.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),32,0,0,0,0,0,27,5,0
Ja'Quan McMillian,DEN,2026-wk01,defense,29,CB,1,49,19,0,30,54.0,30.3,23.7,-,67.2,0,0,0,0,0,2,0,4,66.7,1,0,5,4,80.0,73,18.3,66,59,0,0,1,118.8,0 (0),0,14,0,34,1,0,0,0,0
Sai'vion Jones,DEN,2026-wk01,defense,95,DI,1,15,13,2,0,53.9,55.5,69.6,57.5,-,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),15,0,0,0,0,0,6,6,3
Jahdae Barron,DEN,2026-wk01,defense,23,CB,1,4,0,1,3,51.0,-,79.6,58.5,52.6,0,0,0,0,0,3,0,0,0.0,0,0,1,1,100.0,11,11.0,8,11,0,0,0,112.5,0 (0),0,2,0,2,0,0,0,0,0
Brandon Jones,DEN,2026-wk01,defense,22,S,1,65,32,1,32,50.6,63.0,35.7,58.8,48.6,0,0,0,0,0,3,3,2,25.0,2,0,1,0,0.0,0,0,0,1,0,0.0,0,0,0 (0),0,29,34,2,0,0,0,0,0
Alex Singleton,DEN,2026-wk01,defense,49,LB,1,68,35,3,30,50.0,64.6,35.3,85.1,40.5,2,0,0,2,0,6,9,4,21.1,1,0,6,4,66.7,59,14.8,60,25,0,0,0,98.6,1 (0),1,65,0,2,0,0,0,0,1
Eyioma Uwazurike,DEN,2026-wk01,defense,96,DI,1,41,25,16,0,33.6,30.9,30.0,58.6,60.0,1,0,0,1,0,3,0,1,25.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),41,0,0,0,0,5,21,9,6
Justin Strnad,DEN,2026-wk01,defense,40,LB,1,55,31,3,21,33.4,33.6,25.5,55.0,53.6,0,0,0,0,0,2,1,3,50.0,2,0,2,1,50.0,2,2.0,6,2,1,0,0,95.8,0 (0),0,54,0,1,0,0,0,0,0
D.J. Jones,DEN,2026-wk01,defense,93,DI,1,39,24,15,0,28.3,27.5,19.4,59.6,-,1,0,0,1,0,0,0,2,100.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),39,0,0,0,0,15,23,1,0
