player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Quinn Meinerz,DEN,2026-wk01,offense,77,G,1,51,0,35,0,16,79.9,-,76.7,-,78.1,0 (0)
Evan Engram,DEN,2026-wk01,offense,01,TE,1,32,23,2,0,7,76.9,78.2,23.2,-,66.9,0 (0)
Garett Bolles,DEN,2026-wk01,offense,72,T,1,51,0,35,0,16,70.1,-,84.8,-,52.9,1 (1)
Adam Prentice,DEN,2026-wk01,offense,46,FB,1,6,1,2,0,3,68.8,59.9,78.7,-,65.8,0 (0)
Mike McGlinchey,DEN,2026-wk01,offense,69,T,1,51,0,35,0,16,62.7,-,66.5,-,56.1,0 (0)
Pat Bryant,DEN,2026-wk01,offense,13,WR,1,30,22,0,0,8,62.2,72.5,-,-,30.0,2 (0)
RJ Harvey,DEN,2026-wk01,offense,12,HB,1,26,15,5,4,2,60.2,68.9,15.3,66.3,60.0,0 (0)
Jonah Coleman,DEN,2026-wk01,offense,20,HB,1,3,0,1,0,2,60.0,-,70.4,-,60.0,0 (0)
Pat Surtain II,DEN,2026-wk01,offense,02,CB,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
J.K. Dobbins,DEN,2026-wk01,offense,27,HB,1,22,7,6,9,0,56.0,54.5,24.9,60.9,-,0 (0)
Marvin Mims Jr.,DEN,2026-wk01,offense,19,WR,1,9,6,0,0,3,54.5,56.4,-,-,55.7,0 (0)
Luke Wattenberg,DEN,2026-wk01,offense,60,C,1,51,0,35,0,16,51.6,-,22.8,-,63.9,0 (0)
Nate Adkins,DEN,2026-wk01,offense,45,TE,1,13,4,2,0,7,46.9,55.1,16.8,-,55.6,0 (0)
Jaylen Waddle,DEN,2026-wk01,offense,17,WR,1,38,29,0,0,9,46.9,47.2,-,-,58.7,0 (0)
Courtland Sutton,DEN,2026-wk01,offense,14,WR,1,39,30,0,0,9,45.5,49.6,-,-,31.1,0 (0)
Troy Franklin,DEN,2026-wk01,offense,11,WR,1,17,10,0,1,6,44.7,46.0,-,59.2,60.2,1 (0)
Adam Trautman,DEN,2026-wk01,offense,82,TE,1,19,8,2,0,9,43.9,39.2,71.0,-,57.5,0 (0)
Ben Powers,DEN,2026-wk01,offense,74,G,1,51,0,35,0,16,43.8,-,39.8,-,45.2,0 (0)
Bo Nix,DEN,2026-wk01,offense,10,QB,1,51,35,0,2,14,37.4,45.5,-,41.6,60.0,1 (0)
