player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Christian Watson,GB,2026-wk01,offense,09,WR,1,52,38,0,0,14,87.1,85.8,-,-,58.3,0 (0)
Tucker Kraft,GB,2026-wk01,offense,85,TE,1,45,22,5,0,18,76.6,77.3,46.1,-,66.0,0 (0)
Jonnu Smith,GB,2026-wk01,offense,18,TE,1,32,17,7,0,8,73.8,71.8,58.2,-,66.7,0 (0)
Matthew Golden,GB,2026-wk01,offense,00,WR,1,56,40,0,0,16,72.6,69.7,-,-,80.8,0 (0)
Bo Melton,GB,2026-wk01,offense,16,WR,1,8,6,0,0,2,71.6,69.6,-,-,60.0,0 (0)
MarShawn Lloyd,GB,2026-wk01,offense,32,HB,1,30,7,9,13,1,61.1,54.2,47.4,62.8,60.0,0 (0)
Zach Bako-Bewele,GB,2026-wk01,offense,50,T,1,68,0,46,0,22,59.9,-,58.7,-,57.6,0 (0)
Jayden Reed,GB,2026-wk01,offense,11,WR,1,39,29,1,0,9,59.4,59.0,66.1,-,58.7,0 (0)
Anthony Belton,GB,2026-wk01,offense,71,T,1,4,0,2,0,2,58.4,-,69.0,-,57.5,0 (0)
Sean Rhyan,GB,2026-wk01,offense,75,C,1,68,0,46,0,22,57.3,-,32.8,-,64.8,1 (0)
Jacob Monk,GB,2026-wk01,offense,62,G,1,68,0,46,0,22,54.9,-,48.2,-,56.1,0 (0)
Chris Brooks,GB,2026-wk01,offense,30,HB,1,38,10,20,8,0,54.8,52.1,38.2,62.0,-,0 (0)
Mark Redman,GB,2026-wk01,offense,86,TE,1,21,2,7,0,12,54.6,54.9,47.4,-,58.5,0 (0)
Skyy Moore,GB,2026-wk01,offense,23,WR,1,4,3,0,0,1,54.6,55.9,-,-,60.0,0 (0)
Jordan Love,GB,2026-wk01,offense,10,QB,1,68,46,0,1,21,50.9,53.0,-,60.0,60.0,1 (0)
Josh Whyle,GB,2026-wk01,offense,81,TE,1,11,1,4,0,6,50.7,59.1,25.4,-,61.0,0 (0)
Jordan Morgan,GB,2026-wk01,offense,77,T,1,68,0,46,0,22,47.2,-,48.8,-,51.3,1 (0)
Donovan Jennings,GB,2026-wk01,offense,67,G,1,68,0,46,0,22,39.3,-,40.0,-,47.7,1 (0)
