player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Woody Marks,HOU,2026-wk01,offense,04,HB,1,40,18,11,9,2,74.7,55.3,74.5,78.1,60.0,0 (0)
David Montgomery,HOU,2026-wk01,offense,32,HB,1,39,14,5,20,0,72.6,76.6,78.4,71.8,-,1 (0)
Marlin Klein,HOU,2026-wk01,offense,83,TE,1,9,3,0,0,6,72.4,80.8,-,-,51.7,0 (0)
Nico Collins,HOU,2026-wk01,offense,12,WR,1,57,42,0,1,14,70.9,71.7,-,62.8,35.9,0 (0)
Keylan Rutledge,HOU,2026-wk01,offense,66,G,1,79,0,48,0,31,70.3,-,62.6,-,69.9,0 (0)
Jaylin Noel,HOU,2026-wk01,offense,13,WR,1,24,18,0,0,6,69.3,68.3,-,-,59.1,0 (0)
Cade Stover,HOU,2026-wk01,offense,08,TE,1,24,5,0,0,19,68.8,55.4,-,-,68.9,0 (0)
Ed Ingram,HOU,2026-wk01,offense,69,G,1,79,0,48,0,31,67.8,-,25.9,-,79.9,0 (0)
C.J. Stroud,HOU,2026-wk01,offense,07,QB,1,79,48,0,1,30,67.6,65.6,-,65.1,60.0,0 (0)
Aireontae Ersery,HOU,2026-wk01,offense,79,T,1,79,0,48,0,31,67.1,-,78.1,-,62.9,2 (0)
Jared Wayne,HOU,2026-wk01,offense,17,WR,1,25,11,0,0,14,65.1,65.7,-,-,53.2,0 (0)
Evan Brown,HOU,2026-wk01,offense,63,C,1,79,0,48,0,31,64.5,-,74.5,-,60.1,0 (0)
Xavier Hutchinson,HOU,2026-wk01,offense,19,WR,1,44,31,0,0,13,64.3,62.3,-,-,74.0,0 (0)
Foster Moreau,HOU,2026-wk01,offense,87,TE,1,35,9,3,0,23,64.0,69.8,51.1,-,56.9,0 (0)
Dalton Schultz,HOU,2026-wk01,offense,86,TE,1,52,36,3,0,13,62.5,61.3,78.5,-,59.7,0 (0)
Blake Fisher,HOU,2026-wk01,offense,57,T,1,10,0,1,0,9,60.3,-,70.2,-,59.0,0 (0)
Kayshon Boutte,HOU,2026-wk01,offense,14,WR,1,36,30,0,0,6,56.8,57.3,-,-,52.9,0 (0)
Trent Brown,HOU,2026-wk01,offense,77,T,1,79,0,48,0,31,56.1,-,74.3,-,47.9,1 (0)
