player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Arden Key,IND,2026-wk01,defense,98,ED,1,48,25,19,4,74.3,56.0,49.2,81.3,64.3,3,1,0,2,0,2,1,1,25.0,3,1,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),48,0,0,0,0,0,2,0,46
Kenneth Harris,IND,2026-wk01,defense,33,CB,1,4,0,0,4,65.0,-,72.8,-,64.8,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),0,0,0,0,4,0,0,0,0
Micheal Clemons,IND,2026-wk01,defense,72,ED,1,14,6,8,0,64.2,62.0,67.3,61.6,-,1,0,0,1,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),14,0,0,0,0,1,7,2,4
Adetomiwa Adebawore,IND,2026-wk01,defense,95,DI,1,18,9,9,0,62.9,49.1,66.8,76.3,-,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),18,0,0,0,0,0,11,7,0
Akeem Davis-Gaither,IND,2026-wk01,defense,51,LB,1,64,35,3,26,62.3,75.2,70.0,67.7,42.0,1,0,0,1,0,6,3,1,10.0,2,0,2,2,100.0,36,18.0,24,19,0,0,0,118.8,0 (0),3,60,0,1,0,0,0,0,3
DeForest Buckner,IND,2026-wk01,defense,99,DI,1,51,23,28,0,61.1,32.2,29.7,90.2,-,6,1,0,5,0,1,0,1,50.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),50,1,0,0,0,3,34,9,4
Jonathan Owens,IND,2026-wk01,defense,38,S,1,2,0,0,2,60.2,-,-,-,60.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,0,2,0,0,0,0,0,0
Tim Smith,IND,2026-wk01,defense,93,DI,1,13,9,4,0,59.5,60.2,69.0,57.5,-,0,0,0,0,0,2,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),13,0,0,0,0,5,6,2,0
Laiatu Latu,IND,2026-wk01,defense,97,ED,1,57,28,27,2,56.4,63.4,55.4,56.6,43.2,4,0,0,4,0,5,1,2,25.0,2,0,1,1,100.0,10,10.0,10,10,0,0,0,108.3,0 (0),57,0,0,0,0,0,1,0,56
Camryn Bynum,IND,2026-wk01,defense,00,S,1,68,35,3,30,55.6,56.7,84.6,54.2,57.6,0,0,0,0,0,7,0,0,0.0,1,0,3,2,66.7,22,11.0,8,13,0,0,0,88.2,0 (0),3,22,35,6,2,0,0,0,3
JT Tuimoloau,IND,2026-wk01,defense,91,ED,1,23,12,8,3,54.1,50.7,28.8,60.7,60.7,1,0,1,0,0,1,0,1,50.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),23,0,0,0,0,0,0,2,21
Jerry Tillery,IND,2026-wk01,defense,94,DI,1,36,26,10,0,53.8,51.0,69.9,66.6,-,0,0,0,0,0,3,0,0,0.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),36,0,0,0,0,2,32,1,1
Caden Curry,IND,2026-wk01,defense,55,ED,1,3,0,3,0,51.7,-,-,53.4,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),2,1,0,0,0,0,0,2,0
Bryce Boettcher,IND,2026-wk01,defense,50,LB,1,23,14,3,6,50.5,56.5,30.1,57.6,50.9,0,0,0,0,0,3,3,2,25.0,2,0,1,1,100.0,17,17.0,5,17,0,0,0,118.8,0 (0),5,18,0,0,0,0,0,0,5
Sauce Gardner,IND,2026-wk01,defense,01,CB,1,68,35,0,33,47.9,41.6,44.4,-,51.6,0,0,0,0,0,1,0,1,50.0,0,0,2,1,50.0,12,12.0,1,12,0,0,0,68.8,0 (0),1,13,0,5,49,0,0,0,1
Justin Walley,IND,2026-wk01,defense,27,CB,1,39,14,1,24,43.5,64.4,81.0,56.8,40.7,0,0,0,0,0,5,1,0,0.0,1,0,5,5,100.0,93,18.6,38,49,0,0,0,118.8,0 (0),2,9,3,22,3,0,0,0,2
Jaylon Carlies,IND,2026-wk01,defense,57,LB,1,42,21,4,17,40.3,38.3,-,53.9,54.4,2,0,0,2,0,0,0,0,0,0,2,1,50.0,13,13.0,12,13,0,0,0,70.8,0,0 (0),8,30,0,3,1,0,0,0,8
Charvarius Ward,IND,2026-wk01,defense,07,CB,1,65,32,1,32,37.8,44.7,74.4,59.5,38.2,0,0,0,0,0,1,0,0,0.0,0,0,5,2,40.0,57,28.5,23,53,0,0,0,82.9,0 (0),1,3,0,12,49,0,0,0,1
Grover Stewart,IND,2026-wk01,defense,90,DI,1,43,26,16,1,32.9,31.5,68.6,62.0,59.7,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),43,0,0,0,0,30,13,0,0
A.J. Haulcy,IND,2026-wk01,defense,25,S,1,67,35,1,31,32.4,51.5,84.0,58.8,35.6,0,0,0,0,0,5,3,0,0.0,1,0,3,2,66.7,64,32.0,50,54,1,0,0,149.3,0 (0),0,27,33,4,3,0,0,0,0
