player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Ventrell Miller,JAX,2026-wk01,defense,51,LB,1,33,15,4,14,92.4,62.7,59.2,79.7,92.1,2,1,0,1,0,7,1,1,11.1,5,1,2,2,100.0,6,3.0,6,5,0,0,0,79.2,0 (0),1,31,0,1,0,0,0,0,1
Branson Combs,JAX,2026-wk01,defense,50,LB,1,15,8,1,6,84.3,74.6,78.5,73.0,68.6,1,1,0,0,0,1,3,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),1,11,0,3,0,0,0,0,1
Foyesade Oluokun,JAX,2026-wk01,defense,23,LB,1,34,10,2,22,82.7,29.1,77.8,56.6,91.7,0,0,0,0,0,4,0,0,0.0,2,0,2,2,100.0,15,7.5,16,9,0,1,0,58.3,0 (0),1,29,0,4,0,0,0,0,1
Josh Hines-Allen,JAX,2026-wk01,defense,41,ED,1,38,13,22,3,78.2,75.7,27.3,77.3,41.8,5,2,0,3,0,3,0,3,50.0,5,1,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),38,0,0,0,0,0,0,1,37
Travis Hunter,JAX,2026-wk01,defense,12,CB,1,29,8,0,21,69.1,60.4,72.5,-,69.1,0,0,0,0,0,1,0,0,0.0,1,0,1,1,100.0,4,4.0,0,4,0,0,0,83.3,0 (0),0,0,0,0,29,0,0,0,0
Travon Walker,JAX,2026-wk01,defense,44,ED,1,34,7,25,2,69.1,59.9,70.8,67.7,60.6,7,2,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),34,0,0,0,0,0,7,4,23
DaVon Hamilton,JAX,2026-wk01,defense,52,DI,1,19,12,7,0,67.4,68.1,28.4,55.0,-,1,0,1,0,0,2,0,1,33.3,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),19,0,0,0,0,2,17,0,0
Christian Braswell,JAX,2026-wk01,defense,21,CB,1,6,3,0,3,64.3,60.0,-,-,63.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,0,0,0,6,0,0,0,0
Montaric Brown,JAX,2026-wk01,defense,01,CB,1,38,16,0,22,63.7,80.1,78.3,-,54.8,0,0,0,0,0,3,1,0,0.0,2,0,4,2,50.0,59,29.5,2,46,1,0,0,135.4,0 (0),0,5,0,0,33,0,0,0,0
Rayuan Lane III,JAX,2026-wk01,defense,25,S,1,6,3,0,3,62.4,60.0,-,-,61.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,0,4,2,0,0,0,0,0
