player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Parker Washington,JAX,2026-wk01,offense,11,WR,1,35,18,0,0,17,90.9,90.5,-,-,76.8,0 (0)
Bhayshul Tuten,JAX,2026-wk01,offense,33,HB,1,28,8,3,16,1,87.2,63.6,78.7,84.5,60.0,0 (0)
Josh Cameron,JAX,2026-wk01,offense,19,WR,1,19,7,0,0,12,87.1,87.3,-,-,53.6,0 (0)
Trevor Lawrence,JAX,2026-wk01,offense,16,QB,1,50,25,0,1,24,86.0,87.1,-,62.6,60.3,1 (0)
Cole Van Lanen,JAX,2026-wk01,offense,70,T,1,36,0,20,0,16,75.5,-,81.6,-,70.8,0 (0)
Anton Harrison,JAX,2026-wk01,offense,77,T,1,57,0,25,0,32,74.1,-,79.6,-,68.9,0 (0)
Travis Hunter,JAX,2026-wk01,offense,12,CB,1,4,3,0,1,0,73.2,73.9,-,59.2,-,0 (0)
Quintin Morris,JAX,2026-wk01,offense,80,TE,1,24,7,0,0,17,73.2,47.5,-,-,79.6,0 (0)
Ameer Abdullah,JAX,2026-wk01,offense,20,HB,1,5,1,0,4,0,72.7,65.2,-,69.9,-,0 (0)
Brian Thomas Jr.,JAX,2026-wk01,offense,07,WR,1,20,14,0,0,6,71.9,70.6,-,-,59.7,0 (0)
Chris Rodriguez Jr.,JAX,2026-wk01,offense,24,HB,1,23,8,4,6,5,68.7,54.2,59.4,70.7,60.0,0 (0)
Walker Little,JAX,2026-wk01,offense,72,T,1,21,0,5,0,16,68.4,-,76.6,-,65.6,0 (0)
Jakobi Meyers,JAX,2026-wk01,offense,03,WR,1,37,20,0,1,16,66.0,65.8,-,62.0,49.6,0 (0)
Brenton Strange,JAX,2026-wk01,offense,85,TE,1,39,16,2,0,21,63.9,71.1,72.4,-,57.5,1 (0)
Ezra Cleveland,JAX,2026-wk01,offense,76,G,1,50,0,25,0,25,63.1,-,63.7,-,61.0,0 (0)
Nick Mullens,JAX,2026-wk01,offense,14,QB,1,7,0,0,3,4,61.6,-,-,60.5,60.0,0 (0)
Robert Hainsey,JAX,2026-wk01,offense,73,C,1,50,0,25,0,25,60.7,-,75.8,-,63.5,1 (0)
Nate Boerkircher,JAX,2026-wk01,offense,87,TE,1,38,10,2,0,26,60.3,64.6,71.9,-,54.9,1 (0)
CJ Williams,JAX,2026-wk01,offense,18,WR,1,10,1,0,0,9,59.5,60.0,-,-,60.1,0 (0)
LeQuint Allen,JAX,2026-wk01,offense,05,HB,1,1,1,0,0,0,58.4,59.9,-,-,-,0 (0)
Wyatt Milum,JAX,2026-wk01,offense,64,G,1,9,0,0,0,9,58.2,-,-,-,57.8,0 (0)
Jonah Monheim,JAX,2026-wk01,offense,60,C,1,7,0,0,0,7,55.1,-,-,-,51.4,0 (0)
Emmanuel Pregnon,JAX,2026-wk01,offense,75,G,1,57,0,25,0,32,50.3,-,73.5,-,45.5,0 (0)
