player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Mansoor Delane,KC,2026-wk01,defense,05,CB,1,3,1,1,1,97.3,60.0,-,58.5,60.0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,1,0,0.0,0,0,0,0 (0),0,0,0,0,3,0,0,0,0
Felix Anudike-Uzomah,KC,2026-wk01,defense,91,ED,1,28,11,16,1,86.2,63.0,70.2,79.3,61.9,3,1,0,2,0,0,1,0,0.0,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),28,0,0,0,0,0,10,1,17
Peter Woods,KC,2026-wk01,defense,99,DI,1,29,12,17,0,83.2,61.7,68.7,76.7,61.7,1,0,0,1,1,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),29,0,0,0,0,4,25,0,0
Jeffrey Bassa,KC,2026-wk01,defense,31,LB,1,3,1,1,1,81.8,60.0,-,70.1,60.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),1,2,0,0,0,0,0,0,1
Drue Tranquill,KC,2026-wk01,defense,23,LB,1,50,16,8,26,80.7,82.1,79.9,50.5,74.9,1,0,0,1,0,4,3,0,0.0,3,0,1,0,0.0,0,0,0,0,0,39.6,0,0,0 (0),8,40,0,2,0,0,0,0,8
Nick Bolton,KC,2026-wk01,defense,32,LB,1,51,16,10,25,76.5,68.2,62.0,87.8,59.2,3,0,0,3,1,3,1,1,20.0,0,0,1,1,100.0,13,13.0,1,13,0,0,0,118.8,0 (0),3,44,1,3,0,0,0,0,3
Chris Jones,KC,2026-wk01,defense,95,DI,1,26,4,22,0,73.3,58.1,66.8,73.1,-,3,0,0,3,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),26,0,0,0,0,2,11,5,8
L'Jarius Sneed,KC,2026-wk01,defense,38,CB,1,46,12,4,30,72.7,62.2,61.5,63.7,79.2,1,0,0,1,0,7,2,1,10.0,4,0,8,8,100.0,45,5.6,53,11,0,0,0,90.1,1 (0),5,6,0,33,2,0,0,0,5
Jack Cochrane,KC,2026-wk01,defense,43,LB,1,5,4,0,1,71.2,55.4,-,-,60.0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,39.6,0,0,0,0 (0),1,3,0,1,0,0,0,0,1
Ashton Gillotte,KC,2026-wk01,defense,97,ED,1,14,6,7,1,65.1,63.2,73.2,60.8,60.0,1,0,0,1,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),13,1,0,0,0,0,0,0,13
Christian Roland-Wallace,KC,2026-wk01,defense,30,S,1,8,0,1,7,64.8,-,71.4,60.0,64.7,1,0,0,1,0,1,0,0,0.0,1,0,1,1,100.0,11,11.0,15,11,0,0,0,112.5,0 (0),1,4,0,2,1,0,0,0,1
Alohi Gilman,KC,2026-wk01,defense,17,S,1,51,16,1,34,64.2,69.5,78.2,67.1,58.0,1,0,0,1,0,2,0,0,0.0,0,0,1,0,0.0,0,0,0,0,0,39.6,0,0,0 (0),1,12,34,4,0,0,0,0,1
Kristian Fulton,KC,2026-wk01,defense,08,CB,1,47,14,1,32,61.8,62.4,72.5,60.0,61.3,0,0,0,0,0,1,0,0,0.0,1,0,3,2,66.7,11,5.5,4,6,0,0,0,72.9,0 (0),3,2,0,1,41,0,0,0,3
Nohl Williams,KC,2026-wk01,defense,20,CB,1,51,16,1,34,60.7,30.0,29.7,83.1,64.3,1,1,0,0,0,2,0,1,33.3,2,0,5,2,40.0,18,9.0,13,9,0,0,1,50.4,0 (0),1,5,0,1,44,0,0,0,1
R Mason Thomas,KC,2026-wk01,defense,51,ED,1,27,4,19,4,59.9,51.9,71.4,62.7,61.6,2,1,0,1,0,1,0,0,0.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),27,0,0,0,0,0,1,1,25
Jaden Hicks,KC,2026-wk01,defense,21,S,1,51,16,2,33,58.9,65.8,82.0,55.7,57.4,1,0,0,1,0,3,1,0,0.0,2,0,1,1,100.0,19,19.0,0,19,1,0,0,158.3,0 (0),4,21,23,3,0,0,0,0,4
Marcus Harris,KC,2026-wk01,defense,96,DI,1,5,3,1,1,56.5,60.1,67.3,60.0,59.5,0,0,0,0,0,1,0,0,0.0,0,0,1,1,100.0,6,6.0,4,6,0,0,0,91.7,0 (0),5,0,0,0,0,0,5,0,0
Khyiris Tonga,KC,2026-wk01,defense,92,DI,1,22,10,11,1,55.9,54.0,68.7,61.0,59.5,1,0,0,1,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),22,0,0,0,0,10,11,0,1
George Karlaftis,KC,2026-wk01,defense,56,ED,1,44,14,29,1,50.2,67.5,29.7,53.8,35.2,4,0,3,1,0,1,1,1,33.3,0,0,1,1,100.0,8,8.0,4,8,0,0,0,100.0,0 (0),44,0,0,0,0,8,1,4,31
