player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Kenneth Walker III,KC,2026-wk01,offense,09,HB,1,47,16,5,23,3,88.5,41.0,77.1,90.5,60.0,0 (0)
Jake Briningstool,KC,2026-wk01,offense,88,TE,1,13,3,0,0,10,75.1,79.2,-,-,56.3,0 (0)
Creed Humphrey,KC,2026-wk01,offense,52,C,1,69,0,34,0,35,74.7,-,39.0,-,80.8,0 (0)
Trey Smith,KC,2026-wk01,offense,65,G,1,69,0,34,0,35,74.1,-,69.1,-,71.4,1 (0)
Travis Kelce,KC,2026-wk01,offense,87,TE,1,49,27,1,0,21,72.3,73.3,66.3,-,61.3,0 (0)
Hunter Nourzad,KC,2026-wk01,offense,64,G,1,4,0,0,0,4,70.7,-,-,-,67.1,0 (0)
Emmett Johnson,KC,2026-wk01,offense,10,HB,1,25,8,5,9,3,68.2,90.9,29.1,62.2,60.0,0 (0)
Joshua Ezeudu,KC,2026-wk01,offense,73,T,1,3,0,0,0,3,66.2,-,-,-,66.0,0 (0)
Patrick Mahomes,KC,2026-wk01,offense,15,QB,1,69,34,0,3,32,64.9,56.2,-,76.9,60.0,0 (0)
Rashee Rice,KC,2026-wk01,offense,04,WR,1,57,31,0,0,26,60.0,56.6,-,-,77.0,0 (0)
Ben VanSumeren,KC,2026-wk01,offense,47,FB,1,3,0,0,0,3,60.0,-,-,-,60.0,0 (0)
Justin Fields,KC,2026-wk01,offense,06,QB,1,1,1,0,0,0,60.0,59.9,-,-,-,0 (0)
Mike Caliendo,KC,2026-wk01,offense,66,G,1,1,0,0,0,1,60.0,-,-,-,59.6,0 (0)
Cyrus Allen,KC,2026-wk01,offense,13,WR,1,1,1,0,0,0,58.2,59.8,-,-,-,0 (0)
Khyiris Tonga,KC,2026-wk01,offense,92,DI,1,4,0,0,0,4,58.2,-,-,-,58.1,0 (0)
Xavier Worthy,KC,2026-wk01,offense,01,WR,1,53,31,0,0,22,57.8,57.4,-,-,59.6,0 (0)
Jaylon Moore,KC,2026-wk01,offense,77,T,1,68,1,33,0,34,56.1,58.1,58.8,-,61.3,1 (1)
Kahlil Benson,KC,2026-wk01,offense,70,T,1,69,0,34,0,35,52.8,-,46.0,-,53.8,1 (0)
Tyquan Thornton,KC,2026-wk01,offense,02,WR,1,47,25,0,0,22,50.6,51.5,-,-,53.4,0 (0)
Kingsley Suamataia,KC,2026-wk01,offense,76,G,1,69,0,34,0,35,49.5,-,69.1,-,45.4,0 (0)
Noah Gray,KC,2026-wk01,offense,83,TE,1,38,12,4,0,22,46.3,50.0,75.8,-,43.8,0 (0)
