player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Tony Jefferson,LAC,2026-wk01,defense,23,S,1,39,24,1,14,82.3,57.5,28.8,66.0,83.0,0,0,0,0,0,1,1,1,33.3,1,0,1,0,0.0,0,0,0,0,1,39.6,0,0,0 (0),0,17,21,1,0,0,0,0,0
Genesis Smith,LAC,2026-wk01,defense,22,S,1,27,7,0,20,77.5,67.1,82.1,-,71.4,0,0,0,0,0,4,0,0,0.0,2,0,2,1,50.0,5,5.0,1,5,0,0,0,56.3,0 (0),0,8,17,2,0,0,0,0,0
Troy Dye,LAC,2026-wk01,defense,43,LB,1,15,10,0,5,73.1,60.9,79.9,77.5,64.1,1,1,0,0,0,3,1,0,0.0,2,0,2,2,100.0,13,6.5,7,9,0,0,0,93.8,0 (0),0,13,0,2,0,0,0,0,0
Elijah Molden,LAC,2026-wk01,defense,02,S,1,53,19,0,34,71.5,67.3,84.4,-,66.8,0,0,0,0,0,4,1,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),0,5,47,1,0,0,0,0,0
Teair Tart,LAC,2026-wk01,defense,93,DI,1,31,12,19,0,70.3,72.8,68.4,57.0,-,0,0,0,0,0,2,0,0,0.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),31,0,0,0,0,3,25,3,0
Del'Shawn Phillips,LAC,2026-wk01,defense,53,LB,1,41,22,3,16,70.0,78.3,52.0,65.1,51.0,1,0,1,0,0,3,2,1,16.7,2,0,2,2,100.0,22,11.0,11,17,0,0,0,112.5,0 (0),0,38,0,3,0,0,0,0,0
Jamaree Caldwell,LAC,2026-wk01,defense,99,DI,1,40,24,16,0,65.4,62.4,70.5,63.5,-,1,0,1,0,0,4,0,0,0.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),40,0,0,0,0,4,28,8,0
Akheem Mesidor,LAC,2026-wk01,defense,90,ED,1,35,13,22,0,64.4,58.7,71.4,64.5,-,1,0,0,1,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),35,0,0,0,0,0,1,3,31
Dalvin Tomlinson,LAC,2026-wk01,defense,94,DI,1,40,22,18,0,64.2,68.0,29.9,52.0,-,0,0,0,0,0,1,2,1,25.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),40,0,0,0,0,1,36,3,0
Cam Hart,LAC,2026-wk01,defense,20,CB,1,63,25,0,38,62.2,41.9,79.8,-,66.4,0,0,0,0,0,6,0,0,0.0,2,0,6,5,83.3,70,14.0,13,33,0,0,1,115.3,0 (0),0,7,0,0,56,0,0,0,0
Khalil Mack,LAC,2026-wk01,defense,52,ED,1,51,20,31,0,62.1,61.8,25.3,59.4,-,2,0,1,1,0,1,0,1,50.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),51,0,0,0,0,0,0,2,49
Daiyan Henley,LAC,2026-wk01,defense,00,LB,1,67,26,7,34,60.5,59.2,65.1,61.3,60.3,1,1,0,0,0,8,4,1,7.7,4,0,3,3,100.0,28,9.3,22,14,0,0,0,105.6,0 (0),8,52,0,7,0,0,0,0,8
