player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Ladd McConkey,LAC,2026-wk01,offense,15,WR,1,27,20,0,0,7,90.7,90.0,-,-,60.1,0 (0)
Rashawn Slater,LAC,2026-wk01,offense,70,T,1,55,0,39,0,16,76.3,-,73.1,-,87.4,1 (0)
David Njoku,LAC,2026-wk01,offense,83,TE,1,30,18,3,0,9,71.9,73.4,82.4,-,58.1,1 (1)
Kayode Awosika,LAC,2026-wk01,offense,74,G,1,35,0,25,0,10,71.1,-,85.1,-,63.4,0 (0)
Joe Alt,LAC,2026-wk01,offense,76,T,1,55,0,39,0,16,67.3,-,82.8,-,62.9,1 (0)
Oronde Gadsden II,LAC,2026-wk01,offense,86,TE,1,10,7,0,0,3,64.4,68.8,-,-,40.1,0 (0)
Omarion Hampton,LAC,2026-wk01,offense,08,HB,1,32,13,7,12,0,60.1,53.5,76.9,60.6,-,0 (0)
Tre Harris,LAC,2026-wk01,offense,09,WR,1,41,31,0,0,10,58.3,58.6,-,-,53.7,0 (0)
Kimani Vidal,LAC,2026-wk01,offense,28,HB,1,4,3,1,0,0,58.1,57.2,71.8,-,-,0 (0)
Keaton Mitchell,LAC,2026-wk01,offense,34,HB,1,17,12,1,4,0,57.0,53.8,73.0,60.2,-,0 (0)
Charlie Kolar,LAC,2026-wk01,offense,88,TE,1,30,14,3,0,13,54.6,50.2,74.0,-,68.8,1 (0)
Brenen Thompson,LAC,2026-wk01,offense,89,WR,1,10,9,0,0,1,53.9,54.7,-,-,60.0,0 (0)
Justin Herbert,LAC,2026-wk01,offense,10,QB,1,55,39,0,0,16,53.5,53.2,-,58.4,60.0,0 (0)
Quentin Johnston,LAC,2026-wk01,offense,01,WR,1,43,30,0,0,13,53.1,59.0,-,-,37.6,1 (0)
Derius Davis,LAC,2026-wk01,offense,12,WR,1,10,10,0,0,0,53.0,53.9,-,-,-,0 (0)
Alec Ingold,LAC,2026-wk01,offense,30,FB,1,21,6,7,0,8,47.0,57.0,69.0,-,36.6,0 (0)
Jake Slaughter,LAC,2026-wk01,offense,66,C,1,55,0,39,0,16,42.5,-,69.8,-,39.0,2 (0)
Cole Strange,LAC,2026-wk01,offense,69,G,1,55,0,39,0,16,41.0,-,10.6,-,55.7,1 (1)
Trey Pipkins III,LAC,2026-wk01,offense,79,G,1,20,0,14,0,6,37.1,-,41.4,-,38.9,0 (0)
