player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Trent McDuffie,LAR,2026-wk01,defense,22,CB,1,65,28,1,36,83.4,67.3,78.8,60.0,85.4,0,0,0,0,0,4,1,0,0.0,2,0,3,1,33.3,13,13.0,0,13,0,0,0,47.9,0 (0),0,5,0,0,60,0,0,0,0
Quentin Lake,LAR,2026-wk01,defense,37,S,1,65,28,1,36,78.8,47.6,67.6,58.7,89.8,0,0,0,0,0,9,1,1,9.1,0,0,10,7,70.0,54,7.7,27,13,0,1,2,43.3,0 (0),1,29,12,23,0,0,0,0,1
Kobie Turner,LAR,2026-wk01,defense,91,DI,1,43,15,28,0,75.3,80.1,71.7,56.2,60.0,0,0,0,0,1,6,1,0,0.0,5,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),43,0,0,0,0,0,39,3,1
Josaiah Stewart,LAR,2026-wk01,defense,10,ED,1,28,15,10,3,71.0,58.7,76.9,60.3,80.6,1,0,1,0,0,3,2,0,0.0,2,0,2,2,100.0,6,3.0,14,6,0,0,0,79.2,0 (0),26,0,0,2,0,0,0,1,25
Kamren Curl,LAR,2026-wk01,defense,03,S,1,30,11,0,19,70.8,62.7,78.9,-,68.0,0,0,0,0,0,2,1,0,0.0,1,0,2,2,100.0,13,6.5,24,8,0,0,0,93.8,0 (0),0,8,18,4,0,0,0,0,0
Braden Fiske,LAR,2026-wk01,defense,55,DI,1,29,10,19,0,68.9,77.5,29.2,52.6,-,2,0,0,2,0,2,0,1,33.3,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),29,0,0,0,0,0,17,6,6
Josh Wallace,LAR,2026-wk01,defense,30,CB,1,7,0,0,7,65.9,-,-,-,65.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,2,0,5,0,0,0,0,0
Jaylen Watson,LAR,2026-wk01,defense,35,CB,1,65,28,1,36,64.9,68.1,78.0,58.7,63.4,0,0,0,0,0,2,2,0,0.0,0,0,3,1,33.3,2,2.0,0,2,1,0,0,81.9,0 (0),0,6,0,0,59,0,0,0,0
Myles Garrett,LAR,2026-wk01,defense,95,ED,1,40,12,28,0,64.7,43.2,-,73.7,-,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),40,0,0,0,0,0,0,1,39
Desjuan Johnson,LAR,2026-wk01,defense,94,ED,1,15,10,5,0,62.7,65.0,69.2,54.0,-,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),15,0,0,0,0,0,0,0,15
Shaun Dolac,LAR,2026-wk01,defense,56,LB,1,19,12,0,7,60.7,56.8,44.8,-,65.4,0,0,0,0,0,3,2,1,16.7,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),0,19,0,0,0,0,0,0,0
Byron Young,LAR,2026-wk01,defense,00,ED,1,47,19,24,4,58.0,55.0,28.8,57.4,64.5,2,0,0,2,0,0,1,1,50.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),46,0,0,1,0,0,0,0,46
Jaylen McCollough,LAR,2026-wk01,defense,02,S,1,39,13,0,26,52.1,52.2,81.9,-,56.5,0,0,0,0,0,2,1,0,0.0,0,0,2,2,100.0,16,8.0,5,9,0,0,0,100.0,0 (0),0,6,32,1,0,0,0,0,0
Omar Speights,LAR,2026-wk01,defense,48,LB,1,30,15,3,12,49.0,63.7,77.2,55.9,40.8,0,0,0,0,0,3,1,0,0.0,2,0,2,1,50.0,6,6.0,9,6,0,0,0,56.3,0 (0),2,26,0,2,0,0,0,0,2
Ty Hamilton,LAR,2026-wk01,defense,57,DI,1,12,7,5,0,48.4,51.8,67.3,55.6,-,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),12,0,0,0,0,0,11,0,1
Poona Ford,LAR,2026-wk01,defense,97,DI,1,33,20,13,0,47.9,45.9,67.3,60.7,60.0,1,0,0,1,0,0,1,1,50.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),33,0,0,0,0,4,29,0,0
Nate Landman,LAR,2026-wk01,defense,53,LB,1,64,28,0,36,47.3,37.3,54.6,60.0,58.3,1,0,1,0,0,7,0,1,12.5,4,0,8,7,87.5,41,5.9,44,14,0,0,1,88.0,0 (0),0,63,0,1,0,0,0,0,0
Kamren Kinchens,LAR,2026-wk01,defense,05,S,1,52,20,0,32,41.0,75.0,84.8,-,36.4,0,0,0,0,0,3,4,0,0.0,0,0,2,2,100.0,54,27.0,0,39,2,0,0,158.3,0 (0),0,13,38,1,0,0,0,0,0
Tyler Davis,LAR,2026-wk01,defense,90,DI,1,32,17,15,0,31.1,38.2,70.8,59.7,60.0,0,0,0,0,0,4,1,1,16.7,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),32,0,0,0,0,0,27,2,3
