player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Steve Avila,LAR,2026-wk01,offense,73,G,1,61,0,33,0,28,84.9,-,48.2,-,90.3,0 (0)
Coleman Shelton,LAR,2026-wk01,offense,65,C,1,61,0,33,0,28,83.2,-,57.7,-,88.2,0 (0)
Puka Nacua,LAR,2026-wk01,offense,12,WR,1,43,24,0,0,19,76.0,75.6,-,-,57.4,0 (0)
Blake Corum,LAR,2026-wk01,offense,24,HB,1,14,3,1,10,0,70.8,57.3,68.8,69.4,-,0 (0)
Alaric Jackson,LAR,2026-wk01,offense,77,T,1,61,0,33,0,28,67.9,-,66.2,-,65.9,1 (0)
Ronnie Rivers,LAR,2026-wk01,offense,20,HB,1,8,3,0,5,0,67.7,78.7,-,63.1,-,0 (0)
Davante Adams,LAR,2026-wk01,offense,17,WR,1,33,23,0,0,10,67.1,66.1,-,-,61.3,0 (0)
Kyren Williams,LAR,2026-wk01,offense,23,HB,1,39,23,3,11,2,65.5,63.4,19.3,68.3,60.0,0 (0)
Kevin Dotson,LAR,2026-wk01,offense,69,G,1,59,0,33,0,26,65.4,-,26.7,-,84.2,1 (0)
Davis Allen,LAR,2026-wk01,offense,87,TE,1,21,6,0,0,15,64.9,70.8,-,-,56.4,0 (0)
Warren McClendon Jr.,LAR,2026-wk01,offense,71,T,1,61,0,33,0,28,62.6,-,60.3,-,61.7,1 (0)
Beaux Limmer,LAR,2026-wk01,offense,50,G,1,2,0,0,0,2,59.9,-,-,-,59.7,0 (0)
Stetson Bennett,LAR,2026-wk01,offense,13,QB,1,10,4,0,0,6,58.6,50.1,-,64.4,60.0,0 (0)
Terrance Ferguson,LAR,2026-wk01,offense,18,TE,1,31,14,1,0,16,56.5,51.6,65.9,-,65.4,0 (0)
Jordan Whittington,LAR,2026-wk01,offense,88,WR,1,25,14,0,0,11,54.9,54.9,-,-,58.7,0 (0)
Konata Mumpfield,LAR,2026-wk01,offense,04,WR,1,16,11,0,0,5,53.1,53.5,-,-,60.0,0 (0)
Xavier Smith,LAR,2026-wk01,offense,19,WR,1,16,10,0,0,6,51.0,53.1,-,-,53.4,0 (0)
Colby Parkinson,LAR,2026-wk01,offense,84,TE,1,47,22,1,0,24,49.0,57.4,65.9,-,52.5,1 (0)
Matthew Stafford,LAR,2026-wk01,offense,09,QB,1,51,29,0,2,20,41.5,42.3,-,60.0,60.0,0 (0)
Tyler Higbee,LAR,2026-wk01,offense,89,TE,1,12,5,1,0,6,29.2,28.1,65.9,-,59.8,0 (0)
