player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Jeremy Chinn,LV,2026-wk01,defense,11,S,1,55,15,0,40,90.7,67.6,35.3,-,87.5,0,0,0,0,0,5,1,2,25.0,3,1,1,1,100.0,12,12.0,4,12,0,0,0,116.7,0 (0),2,21,28,4,0,0,0,0,2
Maxx Crosby,LV,2026-wk01,defense,98,ED,1,45,12,33,0,90.5,69.6,38.5,88.9,-,8,2,1,5,0,0,0,2,100.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),45,0,0,0,0,0,0,1,44
Thomas Booker IV,LV,2026-wk01,defense,99,DI,1,19,6,13,0,84.1,78.2,70.1,60.1,62.3,1,0,1,0,0,2,1,0,0.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),19,0,0,0,0,1,15,3,0
Foley Fatukasi,LV,2026-wk01,defense,94,DI,1,18,8,10,0,82.4,68.9,71.6,78.0,-,1,1,0,0,1,2,1,0,0.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),18,0,0,0,0,9,8,1,0
Kwity Paye,LV,2026-wk01,defense,95,ED,1,32,6,24,2,77.6,72.3,73.1,69.3,60.5,8,3,2,3,0,2,0,0,0.0,5,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),32,0,0,0,0,0,0,12,20
Nakobe Dean,LV,2026-wk01,defense,17,LB,1,55,15,1,39,70.3,71.2,54.6,73.1,62.5,1,1,0,0,0,4,1,1,16.7,5,1,2,2,100.0,54,27.0,18,30,0,0,0,118.8,0 (0),4,43,0,8,0,0,0,0,4
Hezekiah Masses,LV,2026-wk01,defense,35,CB,1,10,0,0,10,69.7,-,-,-,82.0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,1,39.6,0,0,0,1 (0),0,0,0,0,10,0,0,0,0
Tommy Eichenberg,LV,2026-wk01,defense,44,LB,1,8,5,0,3,68.6,64.5,-,-,61.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),1,7,0,0,0,0,0,0,1
Taron Johnson,LV,2026-wk01,defense,03,S,1,47,10,1,36,61.1,71.0,74.1,59.1,57.9,0,0,0,0,0,0,2,0,0.0,0,0,3,2,66.7,29,14.5,20,30,0,0,0,97.9,0 (0),2,9,4,32,0,0,0,0,2
Tonka Hemingway,LV,2026-wk01,defense,97,DI,1,31,8,21,2,60.0,52.8,37.2,63.8,60.4,2,0,0,2,1,2,2,1,20.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),31,0,0,0,0,0,16,13,2
Treydan Stukes,LV,2026-wk01,defense,31,S,1,55,15,0,40,59.9,64.4,53.0,-,58.1,0,0,0,0,0,5,0,1,16.7,0,0,3,2,66.7,39,19.5,3,25,0,1,0,70.1,0 (0),1,6,46,1,1,0,0,0,1
Patrick Johnson,LV,2026-wk01,defense,93,ED,1,6,3,3,0,59.9,61.6,-,55.4,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),6,0,0,0,0,0,0,0,6
Quay Walker,LV,2026-wk01,defense,07,LB,1,55,15,7,33,59.3,73.2,53.3,58.7,50.0,1,0,0,1,0,5,1,1,14.3,2,0,4,3,75.0,16,5.3,20,7,0,0,0,81.3,1 (0),13,36,0,4,2,0,0,0,13
Malcolm Koonce,LV,2026-wk01,defense,51,ED,1,29,4,22,3,54.6,34.1,70.5,68.0,63.4,3,0,0,3,0,0,1,1,50.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),29,0,0,0,0,0,0,2,27
Adam Butler,LV,2026-wk01,defense,69,DI,1,21,9,12,0,53.4,52.4,69.2,59.8,-,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),21,0,0,0,0,0,12,8,1
Darien Porter,LV,2026-wk01,defense,26,CB,1,45,15,0,30,48.7,46.1,29.6,-,50.6,0,0,0,0,0,1,1,1,33.3,0,0,5,1,20.0,12,12.0,14,12,0,0,0,39.6,0 (0),0,4,0,1,40,0,0,0,0
Jonah Laulu,LV,2026-wk01,defense,96,DI,1,19,4,15,0,42.9,44.9,-,55.4,-,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),19,0,0,0,0,1,11,6,1
Eric Stokes,LV,2026-wk01,defense,05,CB,1,55,15,0,40,41.8,64.0,75.1,-,38.7,0,0,0,0,0,2,0,0,0.0,0,0,6,4,66.7,58,14.5,21,25,0,0,0,97.9,0 (0),0,3,0,0,52,0,0,0,0
