player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Kolton Miller,LV,2026-wk01,offense,74,T,1,68,0,32,0,36,83.1,-,85.4,-,78.8,0 (0)
Michael Mayer,LV,2026-wk01,offense,87,TE,1,55,25,3,0,27,76.3,70.0,42.9,-,74.1,0 (0)
Jalen Nailor,LV,2026-wk01,offense,09,WR,1,41,20,0,0,21,74.0,72.8,-,-,63.1,0 (0)
Ian Thomas,LV,2026-wk01,offense,80,TE,1,31,2,7,0,22,72.2,55.3,77.5,-,69.1,0 (0)
Ashton Jeanty,LV,2026-wk01,offense,02,HB,1,50,20,4,23,3,71.0,66.4,54.9,69.9,60.0,0 (0)
DJ Glaze,LV,2026-wk01,offense,71,T,1,68,0,32,0,36,70.9,-,70.7,-,68.5,0 (0)
Jack Bech,LV,2026-wk01,offense,18,WR,1,27,13,0,0,14,70.4,70.2,-,-,57.4,0 (0)
Tyler Linderbaum,LV,2026-wk01,offense,65,C,1,68,0,32,0,36,68.7,-,71.2,-,66.6,0 (0)
Mike Washington Jr.,LV,2026-wk01,offense,04,HB,1,13,3,3,7,0,62.8,57.4,75.8,62.4,-,0 (0)
Connor Heyward,LV,2026-wk01,offense,34,FB,1,32,7,6,1,18,61.5,53.3,61.1,62.6,57.2,0 (0)
Dylan Laube,LV,2026-wk01,offense,23,HB,1,10,6,1,0,3,59.7,55.2,75.0,-,60.0,0 (0)
Chris Myarick,LV,2026-wk01,offense,41,TE,1,5,1,0,0,4,58.6,59.3,-,-,60.1,0 (0)
Tre Tucker,LV,2026-wk01,offense,01,WR,1,48,28,0,0,20,56.5,57.1,-,-,52.6,0 (0)
Cody White,LV,2026-wk01,offense,82,WR,1,11,5,0,0,6,55.2,55.6,-,-,59.5,0 (0)
Malik Benson,LV,2026-wk01,offense,19,WR,1,7,4,0,1,2,53.3,58.8,-,56.6,60.0,0 (0)
Spencer Burford,LV,2026-wk01,offense,70,G,1,68,0,32,0,36,52.7,-,64.8,-,50.2,0 (0)
Jackson Powers-Johnson,LV,2026-wk01,offense,58,G,1,68,0,32,0,36,51.9,-,75.9,-,45.8,0 (0)
Kirk Cousins,LV,2026-wk01,offense,08,QB,1,68,32,0,4,32,46.3,47.0,-,53.9,60.1,0 (0)
Dareke Young,LV,2026-wk01,offense,81,WR,1,10,2,0,0,8,43.6,58.4,-,-,59.7,1 (0)
