player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Dante Trader Jr.,MIA,2026-wk01,defense,11,S,1,32,18,0,14,91.8,54.0,36.4,-,92.3,0,0,0,0,0,3,0,1,25.0,0,0,0,0,0,0,0,1,0,0.0,0,0,0,0 (0),1,10,18,3,0,0,0,0,1
Jordyn Brooks,MIA,2026-wk01,defense,20,LB,1,67,35,5,27,89.8,73.4,82.2,74.5,87.2,1,0,1,0,0,9,2,0,0.0,6,0,5,5,100.0,24,4.8,12,8,0,0,0,86.7,0 (0),9,56,0,2,0,0,0,0,9
Zayne Anderson,MIA,2026-wk01,defense,23,S,1,53,29,2,22,80.1,73.7,48.8,54.3,74.3,0,0,0,0,0,4,0,1,20.0,1,0,3,1,33.3,-2,-2.0,0,-2,0,0,1,42.4,0 (0),1,27,21,4,0,0,0,0,1
Keith Cooper Jr.,MIA,2026-wk01,defense,97,DI,1,15,10,5,0,75.3,68.3,-,67.8,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),15,0,0,0,0,0,14,1,0
Zeek Biggers,MIA,2026-wk01,defense,93,DI,1,42,19,23,0,74.9,68.8,70.4,69.1,-,1,0,0,1,0,1,2,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),42,0,0,0,0,4,20,9,9
Jordan Phillips,MIA,2026-wk01,defense,94,DI,1,41,24,17,0,70.1,65.7,73.1,66.8,-,2,0,1,1,0,3,2,0,0.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),41,0,0,0,0,17,24,0,0
Clelin Ferrell,MIA,2026-wk01,defense,98,ED,1,11,8,3,0,69.9,63.4,69.6,66.8,-,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),11,0,0,0,0,0,0,0,11
Robert Beal Jr.,MIA,2026-wk01,defense,51,ED,1,14,11,3,0,66.9,66.7,67.3,56.3,-,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),14,0,0,0,0,0,1,2,11
Jacob Rodriguez,MIA,2026-wk01,defense,10,LB,1,68,36,4,28,66.8,51.9,76.2,52.3,81.0,0,0,0,0,0,8,8,1,5.9,6,0,3,2,66.7,7,3.5,6,5,0,0,0,70.1,0 (0),3,63,0,2,0,0,0,0,3
Jason Marshall Jr.,MIA,2026-wk01,defense,04,CB,1,64,32,0,32,65.6,75.4,78.1,-,60.7,0,0,0,0,0,2,2,0,0.0,1,0,3,3,100.0,24,8.0,10,13,1,0,0,139.6,0 (0),1,10,0,0,53,0,0,0,1
Chop Robinson,MIA,2026-wk01,defense,44,ED,1,42,23,18,1,60.3,61.3,69.2,55.8,60.0,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),42,0,0,0,0,0,1,0,41
Jackson Woodard,MIA,2026-wk01,defense,42,LB,1,1,1,0,0,60.0,60.0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),1,0,0,0,0,0,0,0,1
Kyle Louis,MIA,2026-wk01,defense,19,S,1,3,2,1,0,58.8,60.0,-,57.2,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,0,0,3,0,0,0,0,0
Joshua Uche,MIA,2026-wk01,defense,09,ED,1,29,9,16,4,56.2,48.1,74.8,60.5,65.3,1,0,0,1,0,1,4,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),28,1,0,0,0,0,0,4,24
Michael Taaffe,MIA,2026-wk01,defense,16,S,1,51,25,0,26,55.0,68.9,80.5,-,50.6,0,0,0,0,0,3,1,0,0.0,1,0,1,1,100.0,21,21.0,2,21,0,1,0,79.2,0 (0),0,12,35,4,0,0,0,0,0
Willie Gay,MIA,2026-wk01,defense,40,LB,1,41,25,1,15,53.4,53.4,74.1,58.8,56.6,0,0,0,0,0,0,2,0,0.0,0,0,1,1,100.0,12,12.0,8,12,0,0,0,116.7,0 (0),22,16,0,3,0,0,0,0,22
Chris Johnson,MIA,2026-wk01,defense,03,CB,1,68,36,0,32,47.6,76.9,63.3,-,35.2,0,0,0,0,0,8,2,1,9.1,1,0,11,6,54.5,63,10.5,32,15,2,0,2,111.0,0 (0),1,17,0,17,33,0,0,0,1
Malik Herring,MIA,2026-wk01,defense,90,DI,1,32,15,17,0,41.8,45.9,23.8,49.8,-,0,0,0,0,0,1,0,1,50.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),32,0,0,0,0,0,1,16,15
