player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Caleb Douglas,MIA,2026-wk01,offense,07,WR,1,50,35,0,0,15,76.1,75.1,-,-,59.7,0 (0)
Kadyn Proctor,MIA,2026-wk01,offense,74,G,1,55,0,40,0,15,71.2,-,63.4,-,79.0,1 (0)
De'Von Achane,MIA,2026-wk01,offense,28,HB,1,47,31,4,12,0,70.2,82.4,13.9,65.4,-,0 (0)
Patrick Paul,MIA,2026-wk01,offense,52,T,1,55,0,40,0,15,66.6,-,76.4,-,64.6,1 (0)
Ollie Gordon II,MIA,2026-wk01,offense,00,HB,1,4,1,1,0,2,63.9,59.7,65.8,-,60.0,0 (0)
Caedan Wallace,MIA,2026-wk01,offense,77,G,1,1,0,0,0,1,60.0,-,-,-,57.5,0 (0)
Greg Dulcich,MIA,2026-wk01,offense,85,TE,1,42,31,2,0,9,57.2,57.0,72.5,-,55.2,0 (0)
Jaylen Wright,MIA,2026-wk01,offense,05,HB,1,4,3,0,1,0,56.6,57.1,-,59.6,-,0 (0)
Malik Willis,MIA,2026-wk01,offense,02,QB,1,55,40,0,2,13,55.4,62.0,-,50.8,60.0,2 (0)
Chris Bell,MIA,2026-wk01,offense,18,WR,1,28,21,0,0,7,53.7,53.9,-,-,59.4,0 (0)
Kevin Coleman Jr.,MIA,2026-wk01,offense,21,WR,1,16,16,0,0,0,52.8,53.4,-,-,-,0 (0)
Aaron Brewer,MIA,2026-wk01,offense,55,C,1,55,0,40,0,15,52.4,-,79.2,-,49.9,2 (1)
Will Kacmarek,MIA,2026-wk01,offense,89,TE,1,14,5,2,0,7,52.0,52.4,44.0,-,57.6,0 (0)
Malik Washington,MIA,2026-wk01,offense,06,WR,1,54,40,0,0,14,49.7,49.2,-,-,53.7,0 (0)
Jonah Savaiinaea,MIA,2026-wk01,offense,71,G,1,55,0,40,0,15,47.6,-,38.2,-,50.9,0 (0)
DJ Herman,MIA,2026-wk01,offense,34,FB,1,15,7,1,0,7,46.4,52.1,65.8,-,43.7,0 (0)
Austin Jackson,MIA,2026-wk01,offense,73,T,1,55,0,40,0,15,38.0,-,26.9,-,60.2,1 (0)
