player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Dallas Turner,MIN,2026-wk01,defense,15,ED,1,56,18,33,5,89.5,64.0,72.4,90.4,61.5,9,1,6,2,0,1,0,0,0.0,2,1,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),56,0,0,0,0,0,0,0,56
Blake Cashman,MIN,2026-wk01,defense,51,LB,1,65,21,18,26,83.9,62.1,80.7,91.9,59.9,6,1,1,4,1,4,2,0,0.0,3,0,2,1,50.0,7,7.0,2,7,0,0,0,58.3,0 (0),9,55,0,1,0,0,0,0,9
Levi Drake Rodriguez,MIN,2026-wk01,defense,50,DI,1,34,12,22,0,81.9,76.5,69.5,69.6,-,3,1,1,1,0,1,1,0,0.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),34,0,0,0,0,6,28,0,0
James Pierre,MIN,2026-wk01,defense,23,CB,1,23,1,0,22,78.3,60.0,79.0,-,77.1,0,0,0,0,0,3,0,0,0.0,0,0,2,0,0.0,0,0,0,1,1,0.0,0,0,0 (0),0,1,3,0,19,0,0,0,0
Andrew Van Ginkel,MIN,2026-wk01,defense,43,ED,1,55,19,21,15,73.6,66.1,73.6,90.1,40.8,4,2,1,1,0,1,0,0,0.0,3,1,4,2,50.0,55,27.5,22,42,0,0,0,95.8,0 (0),49,0,0,6,0,0,0,0,49
Tyrion Ingram-Dawkins,MIN,2026-wk01,defense,90,DI,1,42,13,28,1,72.0,89.7,69.2,58.7,60.0,2,0,0,2,0,2,0,0,0.0,2,0,1,1,100.0,10,10.0,5,10,0,0,0,108.3,0 (0),41,1,0,0,0,0,20,9,12
Jalen Redmond,MIN,2026-wk01,defense,61,DI,1,51,16,34,1,71.2,81.4,70.4,53.5,59.5,2,0,0,2,0,3,1,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),51,0,0,0,0,1,45,0,5
Isaiah Rodgers,MIN,2026-wk01,defense,02,CB,1,68,22,2,44,71.1,63.3,77.1,55.8,72.4,0,0,0,0,0,3,0,0,0.0,2,0,5,3,60.0,16,5.3,1,8,1,0,0,105.0,0 (0),4,4,0,2,58,0,0,0,4
Kyle Van Noy,MIN,2026-wk01,defense,17,ED,1,25,7,17,1,69.5,70.6,70.5,60.0,60.0,1,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),24,1,0,0,0,0,0,0,24
Ivan Pace Jr.,MIN,2026-wk01,defense,00,LB,1,10,4,0,6,68.7,65.4,71.7,-,63.5,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),1,8,0,1,0,0,0,0,1
Jacob Thomas,MIN,2026-wk01,defense,29,S,1,10,5,1,4,61.2,60.0,-,58.7,61.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),1,5,4,0,0,0,0,0,1
Byron Murphy Jr.,MIN,2026-wk01,defense,07,CB,1,67,22,1,44,54.4,49.3,64.0,56.2,57.3,0,0,0,0,0,8,1,1,10.0,1,0,7,4,57.1,60,15.0,2,32,0,0,1,85.4,1 (1),3,7,2,20,35,0,0,0,3
Harrison Smith,MIN,2026-wk01,defense,22,S,1,26,2,5,19,48.0,60.0,73.0,54.1,49.4,3,0,1,2,0,1,0,0,0.0,0,0,3,2,66.7,27,13.5,8,20,0,0,0,95.1,0 (0),14,3,6,2,1,0,0,0,14
Domonique Orange,MIN,2026-wk01,defense,97,DI,1,22,12,10,0,47.6,49.9,68.6,55.2,-,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),22,0,0,0,0,4,18,0,0
Theo Jackson,MIN,2026-wk01,defense,26,S,1,43,18,0,25,36.6,66.1,79.4,-,34.9,0,0,0,0,0,2,0,0,0.0,0,0,2,1,50.0,23,23.0,7,23,0,0,0,91.7,0 (0),1,10,28,4,0,0,0,0,1
Caleb Banks,MIN,2026-wk01,defense,95,DI,1,16,6,10,0,33.7,37.8,-,54.2,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),16,0,0,0,0,3,11,2,0
Josh Metellus,MIN,2026-wk01,defense,44,S,1,68,22,6,40,29.6,65.5,63.8,49.5,30.2,0,0,0,0,0,3,1,1,20.0,0,0,7,4,57.1,161,40.3,101,81,1,0,0,141.4,0 (0),4,19,34,10,1,0,0,0,4
Eric Wilson,MIN,2026-wk01,defense,55,LB,1,67,22,22,23,29.6,51.7,25.4,62.4,27.3,1,0,1,0,0,3,1,2,33.3,2,0,6,3,50.0,28,9.3,10,16,0,0,0,63.2,0 (0),31,36,0,0,0,0,0,0,31
