player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Mike Onwenu,NE,2026-wk01,offense,71,G,1,71,0,44,0,27,75.7,-,88.9,-,66.8,0 (0)
Mack Hollins,NE,2026-wk01,offense,13,WR,1,50,26,0,0,24,72.9,69.8,-,-,76.8,0 (0)
Morgan Moses,NE,2026-wk01,offense,76,T,1,71,0,44,0,27,71.4,-,82.3,-,68.1,1 (0)
Will Campbell,NE,2026-wk01,offense,66,T,1,71,0,44,0,27,70.7,-,84.4,-,55.7,2 (0)
A.J. Brown,NE,2026-wk01,offense,01,WR,1,31,17,0,0,14,69.2,68.7,-,-,58.8,0 (0)
Jared Wilson,NE,2026-wk01,offense,55,C,1,71,0,44,0,27,67.9,-,70.5,-,65.8,0 (0)
Lan Larison,NE,2026-wk01,offense,34,HB,1,3,3,0,0,0,67.5,81.0,-,-,-,0 (0)
Rhamondre Stevenson,NE,2026-wk01,offense,38,HB,1,60,29,10,20,1,63.8,64.4,57.0,63.2,60.0,0 (0)
Demario Douglas,NE,2026-wk01,offense,03,WR,1,44,35,0,0,9,62.1,61.6,-,-,60.8,0 (0)
Hunter Henry,NE,2026-wk01,offense,85,TE,1,54,25,11,0,18,61.7,59.0,77.8,-,57.2,0 (0)
Alijah Vera-Tucker,NE,2026-wk01,offense,75,G,1,71,0,44,0,27,60.7,-,54.1,-,61.5,1 (0)
Greg Van Roten,NE,2026-wk01,offense,70,G,1,2,0,2,0,0,60.0,-,8.1,-,-,0 (0)
Reggie Gilliam,NE,2026-wk01,offense,44,FB,1,13,1,1,0,11,58.8,58.1,64.2,-,60.1,0 (0)
Eli Raridon,NE,2026-wk01,offense,82,TE,1,38,11,6,0,21,57.1,63.6,76.4,-,49.5,0 (0)
Drake Maye,NE,2026-wk01,offense,10,QB,1,71,44,0,1,26,55.1,50.7,-,67.9,60.0,0 (0)
Kyle Williams,NE,2026-wk01,offense,18,WR,1,12,8,0,0,4,54.3,54.6,-,-,60.0,0 (0)
Corey Kiner,NE,2026-wk01,offense,09,HB,1,8,1,1,6,0,50.5,59.7,69.4,52.0,-,0 (0)
Romeo Doubs,NE,2026-wk01,offense,87,WR,1,40,33,0,0,7,42.5,46.1,-,-,34.4,0 (0)
