player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Vernon Broughton,NO,2026-wk01,defense,91,DI,1,52,23,29,0,91.7,50.7,30.8,74.2,68.5,2,0,2,0,0,1,1,1,33.3,1,1,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),52,0,0,0,0,1,26,18,7
Pete Werner,NO,2026-wk01,defense,20,LB,1,40,17,0,23,71.2,60.6,82.5,-,73.1,0,0,0,0,0,3,6,0,0.0,1,0,3,3,100.0,16,5.3,5,7,0,0,1,88.9,0 (0),2,37,0,1,0,0,0,0,2
Martin Emerson Jr.,NO,2026-wk01,defense,22,CB,1,11,6,0,5,68.3,60.5,75.4,-,67.9,0,0,0,0,0,2,0,0,0.0,0,0,1,1,100.0,7,7.0,1,7,0,0,0,95.8,0 (0),0,0,0,0,11,0,0,0,0
Anfernee Jennings,NO,2026-wk01,defense,33,ED,1,18,9,5,4,67.0,68.3,74.0,55.4,61.9,0,0,0,0,0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),16,0,0,2,0,0,0,0,16
Kaden Elliss,NO,2026-wk01,defense,55,LB,1,77,36,8,33,66.1,50.4,81.4,71.0,73.2,2,0,2,0,0,9,1,0,0.0,4,0,1,1,100.0,5,5.0,1,5,0,0,0,87.5,0 (0),15,60,0,2,0,0,0,0,15
Jonas Sanker,NO,2026-wk01,defense,07,S,1,51,17,1,33,65.9,76.0,84.2,60.0,61.4,0,0,0,0,0,9,1,0,0.0,4,0,7,6,85.7,34,5.7,36,9,0,0,0,86.9,0 (0),3,7,0,41,0,0,0,0,3
Carl Granderson,NO,2026-wk01,defense,96,ED,1,59,27,29,3,64.8,68.3,72.0,55.8,62.0,2,1,0,1,0,1,0,1,50.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),59,0,0,0,0,0,0,1,58
Kool-Aid McKinstry,NO,2026-wk01,defense,01,CB,1,77,36,0,41,64.4,72.8,81.0,-,60.2,0,0,0,0,0,4,4,0,0.0,0,0,7,4,57.1,42,10.5,15,19,0,0,1,74.7,0 (0),2,10,0,0,65,0,0,0,2
Danny Stutsman,NO,2026-wk01,defense,28,LB,1,26,12,0,14,63.7,58.5,37.4,-,65.3,0,0,0,0,0,2,4,1,14.3,1,0,1,1,100.0,11,11.0,9,11,0,0,0,112.5,0 (0),0,26,0,0,0,0,0,0,0
Justin Reid,NO,2026-wk01,defense,21,S,1,77,36,0,41,62.8,68.6,53.2,-,57.9,0,0,0,0,0,7,3,2,16.7,5,0,5,4,80.0,27,6.8,17,11,0,0,0,89.2,0 (0),0,42,29,5,1,0,0,0,0
Quincy Riley,NO,2026-wk01,defense,29,CB,1,66,30,0,36,61.3,80.8,27.4,-,54.8,0,0,0,0,0,2,0,2,50.0,2,0,9,5,55.6,58,11.6,13,22,2,0,1,114.8,0 (0),0,3,0,0,63,0,0,0,0
Colby Wooden,NO,2026-wk01,defense,50,DI,1,18,10,8,0,61.0,62.9,68.4,54.8,-,0,0,0,0,0,2,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),18,0,0,0,0,0,18,0,0
Julian Blackmon,NO,2026-wk01,defense,23,S,1,77,36,0,41,57.5,73.0,83.9,-,55.3,0,0,0,0,0,6,1,0,0.0,1,0,2,1,50.0,6,6.0,0,6,0,0,0,56.3,1 (0),0,16,59,2,0,0,0,0,0
Chase Young,NO,2026-wk01,defense,99,ED,1,59,27,27,5,57.2,44.8,72.8,77.0,62.1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1 (0),59,0,0,0,0,0,0,1,58
Christen Miller,NO,2026-wk01,defense,52,DI,1,25,14,11,0,53.9,62.5,67.3,61.4,-,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),25,0,0,0,0,6,19,0,0
Tyree Wilson,NO,2026-wk01,defense,98,ED,1,23,9,14,0,40.7,34.2,24.7,61.5,-,0,0,0,0,0,1,0,1,50.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),23,0,0,0,0,0,0,0,23
Davon Godchaux,NO,2026-wk01,defense,92,DI,1,36,26,10,0,34.0,36.6,29.8,54.7,-,0,0,0,0,0,1,2,1,25.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),36,0,0,0,0,14,22,0,0
Nathan Shepherd,NO,2026-wk01,defense,93,DI,1,55,25,30,0,30.5,29.6,26.7,53.9,-,2,0,1,1,0,3,0,2,40.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),55,0,0,0,0,3,41,6,5
