player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Chris Olave,NO,2026-wk01,offense,12,WR,1,77,59,0,0,18,82.6,81.5,-,-,55.7,0 (0)
Noah Fant,NO,2026-wk01,offense,87,TE,1,37,18,5,0,14,79.6,81.5,54.6,-,64.4,0 (0)
Tyler Shough,NO,2026-wk01,offense,06,QB,1,90,67,0,1,22,75.0,76.1,-,56.6,60.0,2 (0)
Juwan Johnson,NO,2026-wk01,offense,83,TE,1,76,55,5,0,16,73.4,70.1,60.0,-,75.1,0 (0)
Kelvin Banks Jr.,NO,2026-wk01,offense,71,T,1,90,0,67,0,23,72.0,-,78.8,-,59.5,0 (0)
Travis Etienne Jr.,NO,2026-wk01,offense,03,HB,1,53,27,15,10,1,68.8,85.4,23.9,65.8,60.0,0 (0)
CJ Donaldson,NO,2026-wk01,offense,43,HB,1,15,7,5,2,1,66.4,59.9,36.4,69.6,60.0,0 (0)
Devaughn Vele,NO,2026-wk01,offense,14,WR,1,82,62,1,0,19,66.3,65.7,66.3,-,56.8,0 (0)
Bryce Lance,NO,2026-wk01,offense,18,WR,1,62,49,0,0,13,62.5,61.9,-,-,61.9,0 (0)
Erik McCoy,NO,2026-wk01,offense,78,C,1,90,0,67,0,23,61.7,-,67.8,-,57.5,0 (0)
David Edwards,NO,2026-wk01,offense,76,G,1,90,0,67,0,23,59.6,-,67.0,-,53.4,0 (0)
Kevin Austin Jr.,NO,2026-wk01,offense,81,WR,1,5,4,0,0,1,54.3,55.3,-,-,60.0,0 (0)
Cesar Ruiz,NO,2026-wk01,offense,51,G,1,90,0,67,0,23,52.5,-,61.1,-,45.4,0 (0)
Treyton Welch,NO,2026-wk01,offense,82,TE,1,10,5,2,0,3,51.5,52.5,39.1,-,60.3,0 (0)
Barion Brown,NO,2026-wk01,offense,19,WR,1,7,2,0,1,4,50.6,58.4,-,56.6,59.2,0 (0)
Kendre Miller,NO,2026-wk01,offense,05,HB,1,26,5,9,9,3,44.1,56.2,25.3,50.0,60.0,0 (0)
Taliese Fuaga,NO,2026-wk01,offense,75,T,1,90,0,67,0,23,41.2,-,34.3,-,45.1,0 (0)
