player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Abdul Carter,NYG,2026-wk01,defense,03,ED,1,53,16,37,0,90.3,70.0,72.3,83.7,69.1,4,0,1,3,0,2,1,0,0.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),52,1,0,0,0,0,2,6,44
Brian Burns,NYG,2026-wk01,defense,00,ED,1,49,13,30,6,76.3,71.5,70.5,68.5,63.9,1,0,0,1,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),45,4,0,0,0,0,0,0,45
Tremaine Edmunds,NYG,2026-wk01,defense,49,LB,1,58,17,3,38,73.8,68.6,81.0,55.1,71.7,1,0,0,1,0,7,0,0,0.0,5,0,6,6,100.0,39,6.5,25,13,0,0,0,93.8,0 (0),0,54,0,4,0,0,0,0,0
DJ Reader,NYG,2026-wk01,defense,98,DI,1,27,10,17,0,73.1,74.5,68.3,58.9,-,0,0,0,0,0,1,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),27,0,0,0,0,13,14,0,0
Jevon Holland,NYG,2026-wk01,defense,08,S,1,58,17,1,40,70.1,59.7,42.8,60.0,73.2,0,0,0,0,0,2,1,1,25.0,0,0,2,1,50.0,9,9.0,12,9,0,1,0,22.9,1 (0),3,6,42,7,0,0,0,0,3
Chauncey Golston,NYG,2026-wk01,defense,57,ED,1,28,7,20,1,69.9,64.5,40.3,67.2,60.0,4,0,1,3,0,2,1,1,25.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),28,0,0,0,0,0,12,12,4
Tyler Nubin,NYG,2026-wk01,defense,27,S,1,58,17,0,41,63.5,67.0,81.8,-,60.3,0,0,0,0,0,3,0,0,0.0,0,0,1,1,100.0,12,12.0,0,12,0,0,0,116.7,0 (0),4,13,36,5,0,0,0,0,4
Colton Hood,NYG,2026-wk01,defense,12,CB,1,6,0,0,6,61.2,-,23.2,-,61.1,0,0,0,0,0,0,0,1,100.0,0,0,2,1,50.0,17,17.0,10,17,0,0,0,79.2,0 (0),0,0,0,0,6,0,0,0,0
Ar'Darius Washington,NYG,2026-wk01,defense,24,S,1,1,0,0,1,60.0,-,-,-,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,0,1,0,0,0,0,0,0
Arvell Reese,NYG,2026-wk01,defense,52,LB,1,58,17,5,36,54.3,66.0,55.0,67.4,47.1,1,0,0,1,0,5,0,1,16.7,1,0,3,3,100.0,20,6.7,23,17,1,0,0,134.0,0 (0),11,44,0,3,0,0,0,0,11
Paulson Adebo,NYG,2026-wk01,defense,21,CB,1,10,1,0,9,46.1,60.0,75.2,-,45.4,0,0,0,0,0,2,0,0,0.0,0,0,3,2,66.7,25,12.5,-1,15,0,0,0,92.4,0 (0),0,0,0,0,10,0,0,0,0
Deonte Banks,NYG,2026-wk01,defense,02,CB,1,48,16,0,32,46.0,39.7,49.0,-,48.9,0,0,0,0,0,4,0,1,20.0,1,0,7,4,57.1,23,5.8,8,11,1,0,1,103.0,0 (0),1,2,0,0,45,0,0,0,1
Kayvon Thibodeaux,NYG,2026-wk01,defense,05,ED,1,27,6,19,2,41.5,43.7,72.3,48.2,61.4,3,0,1,2,0,1,1,1,33.3,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),27,0,0,0,0,0,2,9,16
Darius Alexander,NYG,2026-wk01,defense,91,DI,1,18,5,13,0,41.5,46.0,-,52.6,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),18,0,0,0,0,0,17,1,0
Greg Newsome II,NYG,2026-wk01,defense,20,CB,1,52,17,0,35,38.2,38.8,29.5,-,40.4,0,0,0,0,0,2,0,1,33.3,2,0,3,1,33.3,8,8.0,1,8,0,0,0,42.4,1 (0),2,1,0,0,49,0,0,0,2
Dru Phillips,NYG,2026-wk01,defense,22,CB,1,48,13,4,31,36.2,62.3,25.6,54.6,31.2,0,0,0,0,0,2,0,2,50.0,1,0,4,3,75.0,22,7.3,17,9,0,0,0,87.5,3 (0),9,4,0,35,0,0,0,0,9
Shelby Harris,NYG,2026-wk01,defense,93,DI,1,26,10,16,0,34.5,35.7,-,52.6,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),26,0,0,0,0,2,21,3,0
C.J. Okoye,NYG,2026-wk01,defense,99,DI,1,13,5,8,0,34.3,39.7,66.8,54.9,-,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),13,0,0,0,0,3,10,0,0
