player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Isaiah Likely,NYG,2026-wk01,offense,09,TE,1,34,23,1,0,10,88.7,82.8,66.1,-,85.7,0 (0)
Jaxson Dart,NYG,2026-wk01,offense,06,QB,1,69,34,0,8,27,74.3,68.5,-,78.1,60.0,1 (0)
Andrew Thomas,NYG,2026-wk01,offense,78,T,1,69,0,34,0,35,73.0,-,51.3,-,80.6,0 (0)
Malik Nabers,NYG,2026-wk01,offense,01,WR,1,36,24,0,0,12,71.0,69.7,-,-,61.9,0 (0)
Jermaine Eluemunor,NYG,2026-wk01,offense,72,T,1,69,0,34,0,35,68.4,-,83.4,-,65.1,1 (0)
Chris Manhertz,NYG,2026-wk01,offense,85,TE,1,24,3,2,0,19,68.0,52.1,45.5,-,69.8,0 (0)
Cam Skattebo,NYG,2026-wk01,offense,44,HB,1,42,13,2,19,8,67.1,52.9,77.6,67.4,60.0,0 (0)
Darnell Mooney,NYG,2026-wk01,offense,17,WR,1,39,26,0,0,13,64.4,63.9,-,-,59.4,0 (0)
Malachi Fields,NYG,2026-wk01,offense,88,WR,1,50,21,0,0,29,63.2,60.3,-,-,73.2,0 (0)
Patrick Ricard,NYG,2026-wk01,offense,45,FB,1,37,5,5,0,27,61.1,54.5,73.8,-,62.0,0 (0)
Aaron Stinnie,NYG,2026-wk01,offense,64,G,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
John Michael Schmitz Jr.,NYG,2026-wk01,offense,61,C,1,69,0,34,0,35,58.5,-,71.8,-,54.9,0 (0)
Devin Singletary,NYG,2026-wk01,offense,26,HB,1,25,17,2,6,0,57.0,71.7,77.4,48.4,-,0 (0)
Theo Johnson,NYG,2026-wk01,offense,84,TE,1,32,15,1,0,16,54.9,62.0,69.6,-,44.3,0 (0)
Odell Beckham Jr.,NYG,2026-wk01,offense,13,WR,1,11,6,0,0,5,54.0,54.3,-,-,60.9,0 (0)
Braxton Berrios,NYG,2026-wk01,offense,87,WR,1,12,4,0,0,8,53.7,55.8,-,-,53.6,0 (0)
Francis Mauigoa,NYG,2026-wk01,offense,65,G,1,69,0,34,0,35,46.9,-,56.7,-,44.5,0 (0)
Jon Runyan,NYG,2026-wk01,offense,76,G,1,69,0,34,0,35,43.8,-,64.5,-,46.1,2 (0)
Tyrone Tracy,NYG,2026-wk01,offense,29,HB,1,2,0,0,2,0,39.0,-,-,44.7,-,0 (0)
