player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Jarvis Brownlee Jr.,NYJ,2026-wk01,defense,02,CB,1,38,7,3,28,82.4,78.2,77.0,51.6,82.0,0,0,0,0,0,3,1,0,0.0,2,0,4,2,50.0,8,4.0,4,7,0,0,0,56.3,0 (0),1,2,0,35,0,0,0,0,1
Will McDonald IV,NYJ,2026-wk01,defense,09,ED,1,25,5,18,2,80.7,59.5,69.2,80.8,60.3,5,1,0,4,0,0,0,1,100.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),25,0,0,0,0,0,0,0,25
Braiden McGregor,NYJ,2026-wk01,defense,55,ED,1,17,5,11,1,75.1,77.2,73.3,58.2,60.0,0,0,0,0,0,1,2,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),17,0,0,0,0,0,0,0,17
Azareye'h Thomas,NYJ,2026-wk01,defense,01,CB,1,50,10,2,38,74.1,61.7,78.7,56.4,75.2,1,0,0,1,0,5,0,0,0.0,3,0,8,7,87.5,46,6.6,33,12,1,0,0,130.2,0 (0),0,2,0,1,47,0,0,0,0
Dane Belton,NYJ,2026-wk01,defense,06,S,1,50,10,0,40,70.7,63.3,83.7,-,67.7,0,0,0,0,0,3,1,0,0.0,1,0,1,1,100.0,6,6.0,1,6,0,0,0,91.7,0 (0),0,7,34,9,0,0,0,0,0
Brandon Stephens,NYJ,2026-wk01,defense,21,CB,1,50,10,0,40,65.5,69.5,-,-,63.4,0,0,0,0,0,0,0,0,0,0,5,2,40.0,26,13.0,7,14,0,0,0,57.1,0,0 (0),0,3,0,1,46,0,0,0,0
Demario Davis,NYJ,2026-wk01,defense,56,LB,1,50,10,3,37,65.5,63.8,80.4,54.5,64.9,0,0,0,0,0,6,1,0,0.0,2,0,3,1,33.3,8,8.0,8,8,0,0,1,42.4,0 (0),0,48,0,2,0,0,0,0,0
Darrell Jackson Jr.,NYJ,2026-wk01,defense,95,DI,1,8,3,5,0,64.7,66.2,67.3,54.5,-,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),8,0,0,0,0,0,6,0,2
Jowon Briggs,NYJ,2026-wk01,defense,91,DI,1,10,2,8,0,63.6,58.9,-,66.2,-,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),10,0,0,0,0,1,9,0,0
Harrison Phillips,NYJ,2026-wk01,defense,97,DI,1,27,6,21,0,63.2,68.3,68.1,55.5,-,1,0,1,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),27,0,0,0,0,2,20,4,1
Minkah Fitzpatrick,NYJ,2026-wk01,defense,29,S,1,6,2,0,4,62.6,60.0,-,-,61.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,1,3,2,0,0,0,0,0
Malachi Moore,NYJ,2026-wk01,defense,27,S,1,7,0,0,7,62.4,-,-,-,61.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,0,7,0,0,0,0,0,0
Kingsley Enagbare,NYJ,2026-wk01,defense,52,ED,1,33,5,22,6,61.8,56.0,34.9,70.5,48.5,5,1,0,4,0,0,1,2,66.7,1,0,1,1,100.0,9,9.0,1,9,0,0,0,104.2,0 (0),29,4,0,0,0,0,1,3,25
David Onyemata,NYJ,2026-wk01,defense,93,DI,1,35,7,28,0,61.0,45.7,-,69.3,-,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),35,0,0,0,0,0,32,3,0
Marcelino McCrary-Ball,NYJ,2026-wk01,defense,41,LB,1,5,0,2,3,60.6,-,-,56.5,62.5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,5,0,0,0,0,0,0,0
Jamien Sherwood,NYJ,2026-wk01,defense,44,LB,1,45,10,11,24,58.4,50.9,50.7,49.0,69.7,5,0,0,5,0,2,1,1,25.0,0,0,2,2,100.0,12,6.0,7,7,0,0,0,91.7,0 (0),0,40,0,4,1,0,0,0,0
Andre Cisco,NYJ,2026-wk01,defense,08,S,1,44,8,1,35,52.6,61.7,67.9,58.3,52.7,0,0,0,0,0,5,0,1,16.7,0,0,3,3,100.0,25,8.3,14,10,0,0,0,101.4,0 (0),0,3,37,3,1,0,0,0,0
T'Vondre Sweat,NYJ,2026-wk01,defense,99,DI,1,15,4,11,0,52.0,57.4,67.3,52.8,-,1,0,0,1,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),15,0,0,0,0,5,8,2,0
David Bailey,NYJ,2026-wk01,defense,31,ED,1,35,6,28,1,51.1,63.5,75.8,55.5,61.2,4,1,1,2,0,3,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),34,1,0,0,0,0,0,0,34
