player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Dylan Parham,NYJ,2026-wk01,offense,64,G,1,67,0,28,0,39,93.5,-,58.8,-,92.9,0 (0)
Omar Cooper Jr.,NYJ,2026-wk01,offense,11,WR,1,5,2,0,0,3,91.9,89.9,-,-,59.9,0 (0)
Geno Smith,NYJ,2026-wk01,offense,07,QB,1,67,28,0,4,35,84.6,88.4,-,51.6,60.0,2 (0)
Garrett Wilson,NYJ,2026-wk01,offense,05,WR,1,50,23,0,0,27,72.2,71.6,-,-,59.4,1 (0)
Braelon Allen,NYJ,2026-wk01,offense,00,HB,1,27,10,3,11,3,70.8,48.1,78.1,72.1,60.0,0 (0)
Joe Tippmann,NYJ,2026-wk01,offense,66,G,1,67,0,28,0,39,69.3,-,67.6,-,66.5,0 (0)
Adonai Mitchell,NYJ,2026-wk01,offense,15,WR,1,46,23,0,0,23,68.8,73.5,-,-,36.3,0 (0)
Josh Myers,NYJ,2026-wk01,offense,71,C,1,67,0,28,0,39,68.2,-,63.7,-,67.4,1 (0)
Olumuyiwa Fashanu,NYJ,2026-wk01,offense,74,T,1,67,0,28,0,39,68.1,-,76.3,-,68.5,1 (0)
Breece Hall,NYJ,2026-wk01,offense,20,HB,1,39,9,5,23,2,67.4,67.8,79.7,64.8,60.0,0 (0)
Armand Membou,NYJ,2026-wk01,offense,70,T,1,67,0,28,0,39,58.5,-,84.0,-,46.0,0 (0)
Jeremy Ruckert,NYJ,2026-wk01,offense,89,TE,1,29,6,2,0,21,57.7,53.5,70.6,-,59.5,0 (0)
Kenyon Sadiq,NYJ,2026-wk01,offense,16,TE,1,28,12,1,1,14,56.2,55.3,65.9,62.1,62.8,1 (0)
Jelani Woods,NYJ,2026-wk01,offense,86,TE,1,16,2,3,0,11,55.7,57.9,74.2,-,66.7,1 (0)
Andrew Beck,NYJ,2026-wk01,offense,47,FB,1,9,1,0,0,8,55.4,59.9,-,-,55.9,0 (0)
Mason Taylor,NYJ,2026-wk01,offense,85,TE,1,44,17,1,0,26,54.3,46.0,69.6,-,76.2,1 (0)
Isaiah Williams,NYJ,2026-wk01,offense,18,WR,1,40,19,0,0,21,51.7,52.4,-,-,53.2,0 (0)
Arian Smith,NYJ,2026-wk01,offense,82,WR,1,2,1,0,0,1,29.3,40.7,-,-,60.0,0 (0)
