player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Dallas Goedert,PHI,2026-wk01,offense,88,TE,1,52,28,4,0,20,81.1,78.2,74.6,-,68.0,0 (0)
Jalen Hurts,PHI,2026-wk01,offense,01,QB,1,55,35,0,2,18,79.7,75.6,-,71.6,60.0,0 (0)
Lane Johnson,PHI,2026-wk01,offense,65,T,1,55,0,35,0,20,75.9,-,76.9,-,72.6,0 (0)
DeVonta Smith,PHI,2026-wk01,offense,06,WR,1,52,34,0,0,18,75.8,74.8,-,-,61.0,0 (0)
Johnny Mundt,PHI,2026-wk01,offense,83,TE,1,20,4,4,0,12,75.2,52.2,75.3,-,74.1,0 (0)
Jordan Mailata,PHI,2026-wk01,offense,68,T,1,55,0,35,0,20,72.6,-,90.0,-,66.4,1 (0)
Saquon Barkley,PHI,2026-wk01,offense,26,HB,1,39,11,13,15,0,72.0,59.1,47.1,74.6,-,0 (0)
Tyler Steen,PHI,2026-wk01,offense,56,G,1,55,0,35,0,20,62.8,-,58.6,-,62.2,0 (0)
Dontayvion Wicks,PHI,2026-wk01,offense,13,WR,1,50,32,0,0,18,62.1,65.1,-,-,38.6,0 (0)
Will Shipley,PHI,2026-wk01,offense,28,HB,1,10,7,1,2,0,61.3,70.4,73.1,57.4,-,0 (0)
Cam Jurgens,PHI,2026-wk01,offense,51,C,1,55,0,35,0,20,60.5,-,84.6,-,67.6,2 (0)
Cooper DeJean,PHI,2026-wk01,offense,33,S,1,2,0,0,0,2,60.0,-,-,-,60.0,0 (0)
E.J. Jenkins,PHI,2026-wk01,offense,84,TE,1,1,0,1,0,0,60.0,-,70.6,-,-,0 (0)
Tank Bigsby,PHI,2026-wk01,offense,08,HB,1,6,1,2,1,2,55.8,59.7,46.2,59.3,60.0,0 (0)
Makai Lemon,PHI,2026-wk01,offense,09,WR,1,35,29,0,0,6,54.9,52.9,-,-,74.7,0 (0)
Darius Cooper,PHI,2026-wk01,offense,80,WR,1,8,4,0,0,4,46.0,56.7,-,-,32.6,0 (0)
Landon Dickerson,PHI,2026-wk01,offense,69,G,1,55,0,35,0,20,37.6,-,20.8,-,47.0,1 (0)
