player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
T.J. Watt,PIT,2026-wk01,defense,90,ED,1,38,16,22,0,92.3,81.4,73.9,90.8,-,4,2,0,2,0,2,0,0,0.0,4,0,0,0,0,0,0,1,0,0.0,0,0,0,0 (0),38,0,0,0,0,0,0,0,38
Alex Highsmith,PIT,2026-wk01,defense,56,ED,1,41,21,20,0,81.8,73.0,50.1,73.5,-,2,2,0,0,0,2,0,1,33.3,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),41,0,0,0,0,0,0,0,41
Cameron Heyward,PIT,2026-wk01,defense,97,DI,1,32,17,15,0,81.5,66.9,71.0,83.0,-,1,0,0,1,3,2,1,0,0.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),32,0,0,0,0,0,16,16,0
Jamel Dean,PIT,2026-wk01,defense,35,CB,1,59,31,0,28,78.6,92.2,79.6,-,64.8,0,0,0,0,0,5,1,0,0.0,2,1,2,2,100.0,27,13.5,6,19,0,0,0,118.8,0 (0),0,1,0,0,58,0,0,0,0
Jaquan Brisker,PIT,2026-wk01,defense,03,S,1,60,32,0,28,78.1,65.3,66.9,-,75.3,0,0,0,0,0,5,0,1,16.7,2,0,1,0,0.0,0,0,0,1,0,0.0,0,0,0 (0),1,32,23,4,0,0,0,0,1
Keeanu Benton,PIT,2026-wk01,defense,95,DI,1,35,17,18,0,75.5,66.4,70.1,73.3,-,1,0,0,1,0,3,0,0,0.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),35,0,0,0,0,2,32,1,0
Cole Holcomb,PIT,2026-wk01,defense,55,LB,1,3,3,0,0,69.9,65.1,71.4,-,-,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),0,3,0,0,0,0,0,0,0
Sebastian Joseph-Day,PIT,2026-wk01,defense,69,DI,1,18,9,9,0,68.2,72.6,68.4,52.0,60.0,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),18,0,0,0,0,0,9,9,0
Nick Herbig,PIT,2026-wk01,defense,51,ED,1,39,24,9,6,68.0,58.7,26.6,72.2,65.1,2,0,1,1,0,1,1,2,50.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),20,9,0,10,0,0,0,0,20
Jalen Ramsey,PIT,2026-wk01,defense,05,S,1,60,32,1,27,66.6,58.3,47.7,59.0,69.5,0,0,0,0,0,3,1,1,20.0,0,1,3,1,33.3,7,7.0,12,7,0,0,1,42.4,0 (0),4,18,20,18,0,0,0,0,4
Daylen Everette,PIT,2026-wk01,defense,23,CB,1,1,1,0,0,60.9,60.0,72.8,-,-,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),0,0,0,0,1,0,0,0,0
Payton Wilson,PIT,2026-wk01,defense,41,LB,1,57,29,0,28,58.4,85.9,35.6,-,30.8,0,0,0,0,0,6,3,3,25.0,4,0,5,5,100.0,53,10.6,63,24,0,0,0,110.8,0 (0),1,51,0,5,0,0,0,0,1
Jack Sawyer,PIT,2026-wk01,defense,33,ED,1,23,17,6,0,53.9,56.9,73.6,53.0,-,0,0,0,0,0,1,2,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),23,0,0,0,0,0,0,0,23
Derrick Harmon,PIT,2026-wk01,defense,99,DI,1,24,16,8,0,53.8,66.9,70.1,52.6,-,0,0,0,0,0,3,0,0,0.0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),24,0,0,0,0,0,14,9,1
Yahya Black,PIT,2026-wk01,defense,94,DI,1,18,12,6,0,49.9,59.3,-,64.5,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1 (0),18,0,0,0,0,4,13,1,0
Asante Samuel Jr.,PIT,2026-wk01,defense,22,CB,1,60,32,0,28,48.2,46.0,24.3,-,56.5,0,0,0,0,0,1,0,2,66.7,0,0,2,1,50.0,21,21.0,3,21,0,0,0,87.5,1 (0),0,3,0,0,57,0,0,0,0
Patrick Queen,PIT,2026-wk01,defense,06,LB,1,60,32,0,28,46.7,64.6,32.3,-,37.0,0,0,0,0,0,4,5,2,18.2,2,0,3,2,66.7,12,6.0,12,7,0,0,0,74.3,0 (0),3,53,0,4,0,0,0,0,3
Rayshawn Jenkins,PIT,2026-wk01,defense,20,S,1,31,10,0,21,35.0,63.5,31.0,-,37.7,0,0,0,0,0,2,0,0,0.0,0,0,1,1,100.0,23,23.0,27,23,1,0,0,158.3,0 (0),0,4,26,1,0,0,0,0,0
