player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Aaron Rodgers,PIT,2026-wk01,offense,08,QB,1,67,46,0,3,18,80.5,78.7,-,70.0,60.0,1 (0)
Dylan Cook,PIT,2026-wk01,offense,60,T,1,68,0,47,0,21,73.5,-,71.3,-,83.6,1 (0)
Pat Freiermuth,PIT,2026-wk01,offense,88,TE,1,49,35,1,0,13,71.0,68.3,66.6,-,67.2,0 (0)
Darnell Washington,PIT,2026-wk01,offense,80,TE,1,44,18,7,0,19,65.6,60.8,78.8,-,63.3,0 (0)
Zach Frazier,PIT,2026-wk01,offense,54,C,1,67,0,46,0,21,62.7,-,76.9,-,55.8,0 (0)
Michael Pittman Jr.,PIT,2026-wk01,offense,11,WR,1,59,42,0,0,17,60.3,63.2,-,-,52.8,1 (0)
Max Iheanachor,PIT,2026-wk01,offense,71,T,1,1,0,1,0,0,60.0,-,66.5,-,-,0 (0)
Eli Heidenreich,PIT,2026-wk01,offense,29,HB,1,3,0,0,0,3,60.0,-,-,-,60.0,0 (0)
Derrick Harmon,PIT,2026-wk01,offense,99,DI,1,1,0,1,0,0,60.0,-,63.8,-,-,0 (0)
Yahya Black,PIT,2026-wk01,offense,94,DI,1,1,0,1,0,0,60.0,-,63.8,-,-,0 (0)
Brock Hoffman,PIT,2026-wk01,offense,67,C,1,1,0,1,0,0,60.0,-,63.8,-,-,0 (0)
Ryan McCollum,PIT,2026-wk01,offense,62,C,1,1,0,1,0,0,60.0,-,63.8,-,-,0 (0)
Christian Kuntz,PIT,2026-wk01,offense,46,LS,1,1,0,1,0,0,60.0,-,63.8,-,-,0 (0)
Cameron Johnston,PIT,2026-wk01,offense,19,P,1,1,1,0,0,0,60.0,60.0,-,-,-,0 (0)
Jalen Ramsey,PIT,2026-wk01,offense,05,S,1,3,0,0,0,3,60.0,-,-,-,60.0,0 (0)
Chris Boswell,PIT,2026-wk01,offense,09,K,1,1,0,1,0,0,60.0,-,63.8,-,-,0 (0)
Cameron Heyward,PIT,2026-wk01,offense,97,DI,1,1,0,1,0,0,60.0,-,63.8,-,-,0 (0)
Mason McCormick,PIT,2026-wk01,offense,66,G,1,68,0,47,0,21,59.2,-,59.8,-,57.3,0 (0)
Robert Tonyan,PIT,2026-wk01,offense,85,TE,1,2,1,1,0,0,59.2,59.9,67.6,-,-,0 (0)
Jaylen Warren,PIT,2026-wk01,offense,30,HB,1,25,15,0,10,0,56.7,38.4,-,65.8,-,0 (0)
Germie Bernard,PIT,2026-wk01,offense,17,WR,1,3,3,0,0,0,56.4,57.4,-,-,-,0 (0)
Riley Nowakowski,PIT,2026-wk01,offense,37,FB,1,8,1,1,0,6,55.3,60.0,69.2,-,54.3,0 (0)
Spencer Anderson,PIT,2026-wk01,offense,74,G,1,67,0,46,0,21,55.2,-,44.1,-,58.7,0 (0)
Roman Wilson,PIT,2026-wk01,offense,14,WR,1,37,29,0,0,8,54.6,54.6,-,-,60.6,0 (0)
D.K. Metcalf,PIT,2026-wk01,offense,04,WR,1,64,46,0,0,18,49.8,49.8,-,-,60.4,2 (1)
Rico Dowdle,PIT,2026-wk01,offense,13,HB,1,39,22,9,8,0,45.5,40.6,58.3,49.8,-,0 (0)
Troy Fautanu,PIT,2026-wk01,offense,76,T,1,66,0,45,0,21,44.4,-,47.1,-,37.4,0 (0)
