player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Julian Love,SEA,2026-wk01,defense,20,S,1,71,27,3,41,89.9,69.7,66.7,38.4,89.3,1,0,0,1,0,4,1,1,16.7,3,0,1,0,0.0,0,0,0,1,0,0.0,0,0,0 (0),3,12,50,6,0,0,0,0,3
Nehemiah Pritchett,SEA,2026-wk01,defense,28,CB,1,53,11,0,42,81.0,65.8,54.3,-,81.3,0,0,0,0,0,5,1,1,14.3,3,0,5,3,60.0,25,8.3,13,14,0,1,1,33.3,0 (0),0,1,0,0,52,0,0,0,0
Josh Jobe,SEA,2026-wk01,defense,29,CB,1,70,27,0,43,77.0,44.6,53.6,-,82.8,0,0,0,0,0,6,0,1,14.3,2,0,4,3,75.0,15,5.0,4,12,0,1,0,40.6,1 (0),0,8,0,0,62,0,0,0,0
Uchenna Nwosu,SEA,2026-wk01,defense,07,ED,1,33,13,19,1,76.7,66.5,37.1,50.4,91.6,5,0,0,5,0,3,2,2,28.6,3,0,0,0,0,0,0,0,1,0.0,0,0,0,0 (0),33,0,0,0,0,0,2,1,30
Rodney Thomas II,SEA,2026-wk01,defense,24,S,1,70,27,0,43,74.9,62.5,85.7,-,71.8,0,0,0,0,0,4,0,0,0.0,1,0,3,2,66.7,9,4.5,13,8,0,0,0,70.1,0 (0),0,1,67,2,0,0,0,0,0
Rylie Mills,SEA,2026-wk01,defense,98,DI,1,16,6,10,0,74.7,71.6,68.7,62.7,-,1,0,0,1,0,2,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),16,0,0,0,0,1,13,0,2
Leonard Williams,SEA,2026-wk01,defense,99,DI,1,49,16,33,0,72.6,75.3,29.6,55.4,62.7,3,1,0,2,0,3,2,2,28.6,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),49,0,0,0,0,0,16,20,13
Tyrice Knight,SEA,2026-wk01,defense,48,LB,1,14,13,0,1,63.5,61.2,-,-,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),5,9,0,0,0,0,0,0,5
DeMarcus Lawrence,SEA,2026-wk01,defense,00,ED,1,42,13,24,5,60.1,76.6,73.1,51.6,53.5,2,0,1,1,0,3,0,0,0.0,3,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),41,1,0,0,0,0,0,3,38
Devon Witherspoon,SEA,2026-wk01,defense,21,CB,1,70,27,9,34,56.4,68.6,83.9,58.7,51.6,1,0,1,0,0,3,1,0,0.0,2,0,8,7,87.5,55,7.9,40,19,0,0,0,95.3,0 (0),1,12,0,41,16,0,0,0,1
Byron Murphy II,SEA,2026-wk01,defense,91,DI,1,50,21,29,0,55.0,55.9,69.8,55.1,60.0,3,0,0,3,0,2,0,0,0.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),50,0,0,0,0,10,36,4,0
Jarran Reed,SEA,2026-wk01,defense,90,DI,1,34,15,19,0,53.5,53.1,67.3,57.6,-,1,0,0,1,0,1,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),34,0,0,0,0,1,29,4,0
Drake Thomas,SEA,2026-wk01,defense,32,LB,1,71,27,5,39,51.2,72.5,60.7,78.0,32.7,3,1,1,1,0,4,4,1,11.1,3,0,5,3,60.0,29,9.7,20,13,0,0,0,76.3,0 (0),14,49,0,7,1,0,0,0,14
Dante Fowler Jr.,SEA,2026-wk01,defense,56,ED,1,16,6,8,2,49.8,42.7,-,52.1,74.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),15,1,0,0,0,0,0,0,15
Derick Hall,SEA,2026-wk01,defense,58,ED,1,44,15,26,3,49.6,56.8,73.3,55.8,61.6,2,1,0,1,0,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),43,1,0,0,0,0,1,2,40
Ernest Jones,SEA,2026-wk01,defense,13,LB,1,71,27,4,40,45.1,49.4,83.4,51.5,50.8,0,0,0,0,0,11,1,0,0.0,5,0,4,4,100.0,43,10.8,26,17,0,0,0,111.5,0 (0),0,71,0,0,0,0,0,0,0
Brandon Pili,SEA,2026-wk01,defense,95,DI,1,6,6,0,0,30.1,38.9,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),6,0,0,0,0,2,4,0,0
Patrick O'Connell,SEA,2026-wk01,defense,52,LB,1,1,0,0,1,27.7,-,-,-,60.0,0,0,0,0,0,0,0,0,0,0,1,1,100.0,2,2.0,0,2,1,0,0,118.8,0,0 (0),1,0,0,0,0,0,0,0,1
