player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Jaxon Smith-Njigba,SEA,2026-wk01,offense,11,WR,1,45,27,0,0,18,91.2,91.8,-,-,58.6,0 (0)
Drew Lock,SEA,2026-wk01,offense,02,QB,1,45,25,0,1,19,84.1,82.5,-,68.3,60.0,1 (0)
Cooper Kupp,SEA,2026-wk01,offense,10,WR,1,39,22,0,0,17,84.0,84.0,-,-,51.1,0 (0)
Abraham Lucas,SEA,2026-wk01,offense,72,T,1,50,0,28,0,22,71.7,-,45.8,-,84.2,1 (0)
Jadarian Price,SEA,2026-wk01,offense,08,HB,1,24,11,3,10,0,67.0,58.5,73.8,67.5,-,0 (0)
Grey Zabel,SEA,2026-wk01,offense,76,G,1,50,0,28,0,22,64.2,-,60.7,-,63.3,0 (0)
AJ Barner,SEA,2026-wk01,offense,88,TE,1,44,19,5,1,19,62.8,54.4,51.4,62.6,72.5,1 (0)
Sam Darnold,SEA,2026-wk01,offense,14,QB,1,5,3,0,0,2,62.3,61.8,-,-,60.0,0 (0)
Brady Russell,SEA,2026-wk01,offense,38,FB,1,17,5,3,0,9,62.0,69.3,43.0,-,58.0,0 (0)
Josh Jones,SEA,2026-wk01,offense,74,T,1,1,0,0,0,1,60.0,-,-,-,60.0,0 (0)
Eric Saubert,SEA,2026-wk01,offense,81,TE,1,10,3,0,0,7,60.0,52.6,-,-,73.8,1 (0)
Jalen Sundell,SEA,2026-wk01,offense,61,C,1,50,0,28,0,22,58.9,-,63.8,-,71.4,2 (0)
Charles Cross,SEA,2026-wk01,offense,67,T,1,50,0,28,0,22,55.4,-,59.2,-,49.7,0 (0)
Elijah Arroyo,SEA,2026-wk01,offense,18,TE,1,11,7,0,0,4,53.6,51.8,-,-,60.4,0 (0)
Anthony Bradford,SEA,2026-wk01,offense,75,G,1,50,0,28,0,22,50.5,-,3.1,-,75.1,2 (0)
Emanuel Wilson,SEA,2026-wk01,offense,23,HB,1,3,1,0,2,0,50.2,60.0,-,52.7,-,0 (0)
Rashid Shaheed,SEA,2026-wk01,offense,22,WR,1,33,21,0,0,12,49.0,49.1,-,-,58.0,0 (0)
George Holani,SEA,2026-wk01,offense,36,HB,1,23,7,6,8,2,45.7,55.1,56.6,47.3,60.0,0 (0)
