player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Calijah Kancey,TB,2026-wk01,defense,94,DI,1,40,13,26,1,83.3,66.1,23.0,80.4,60.0,4,0,2,2,0,0,0,1,100.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),39,1,0,0,0,1,23,14,1
Al-Quadin Muhammad,TB,2026-wk01,defense,97,ED,1,26,12,12,2,82.5,66.5,72.0,81.5,60.7,2,0,2,0,0,1,1,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),26,0,0,0,0,0,0,2,24
Benjamin Morrison,TB,2026-wk01,defense,21,CB,1,43,18,0,25,78.5,66.9,50.5,-,78.6,0,0,0,0,0,4,1,1,16.7,3,0,6,5,83.3,34,6.8,28,29,0,0,0,90.3,0 (0),0,1,0,2,40,0,0,0,0
A'Shawn Robinson,TB,2026-wk01,defense,91,DI,1,32,18,14,0,78.3,73.7,44.8,58.6,61.7,1,0,1,0,0,5,1,1,14.3,5,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),32,0,0,0,0,0,26,5,1
Josiah Trotter,TB,2026-wk01,defense,45,LB,1,58,25,8,25,72.8,46.8,61.0,62.3,85.6,1,1,0,0,0,2,6,1,11.1,2,0,6,4,66.7,61,15.3,35,25,0,1,0,60.4,0 (0),1,53,0,4,0,0,0,0,1
Keionte Scott,TB,2026-wk01,defense,22,CB,1,47,14,4,29,70.4,73.7,52.9,53.0,69.8,1,0,0,1,0,5,0,1,16.7,2,0,3,3,100.0,35,11.7,16,18,0,0,0,115.3,0 (0),0,6,0,41,0,0,0,0,0
Antoine Winfield Jr.,TB,2026-wk01,defense,31,S,1,62,24,3,35,66.8,70.6,85.1,55.1,62.8,0,0,0,0,0,6,1,0,0.0,0,0,2,2,100.0,31,15.5,7,24,0,0,0,118.8,0 (0),3,20,32,7,0,0,0,0,3
SirVocea Dennis,TB,2026-wk01,defense,08,LB,1,5,3,0,2,63.5,60.5,-,-,60.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),0,5,0,0,0,0,0,0,0
Tykee Smith,TB,2026-wk01,defense,23,S,1,62,24,1,37,62.8,70.7,80.0,60.0,62.9,0,0,0,0,0,3,1,0,0.0,1,0,5,3,60.0,19,6.3,10,11,1,0,1,107.5,1 (0),6,27,20,8,1,0,0,0,6
Zyon McCollum,TB,2026-wk01,defense,27,CB,1,63,25,0,38,60.1,64.7,82.1,-,58.5,0,0,0,0,0,9,1,0,0.0,3,0,4,2,50.0,30,15.0,2,18,0,0,2,75.0,0 (0),0,4,0,4,55,0,0,0,0
Miles Killebrew,TB,2026-wk01,defense,29,S,1,2,2,0,0,60.0,60.0,-,-,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),1,0,0,1,0,0,0,0,1
Vita Vea,TB,2026-wk01,defense,50,DI,1,44,17,26,1,59.8,55.8,-,62.0,60.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),44,0,0,0,0,10,28,6,0
Rakeem Nunez-Roches,TB,2026-wk01,defense,56,DI,1,16,11,5,0,59.5,60.8,69.9,55.6,-,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),16,0,0,0,0,1,13,1,1
Jacob Parrish,TB,2026-wk01,defense,25,CB,1,20,7,0,13,58.5,64.0,75.4,-,56.2,0,0,0,0,0,2,0,0,0.0,1,0,3,1,33.3,12,12.0,9,12,0,0,1,46.5,0 (0),0,1,0,0,19,0,0,0,0
Yaya Diaby,TB,2026-wk01,defense,00,ED,1,40,14,24,2,56.1,62.4,68.1,51.5,60.9,1,0,0,1,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),40,0,0,0,0,0,0,1,39
Elijah Roberts,TB,2026-wk01,defense,95,DI,1,16,7,9,0,52.1,63.8,-,63.0,-,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,1 (0),16,0,0,0,0,0,8,7,1
Anthony Nelson,TB,2026-wk01,defense,98,ED,1,23,12,11,0,48.0,67.0,71.6,51.5,-,0,0,0,0,0,2,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,1 (0),23,0,0,0,0,0,0,0,23
Rueben Bain Jr.,TB,2026-wk01,defense,03,ED,1,41,14,24,3,40.1,41.7,28.1,47.6,61.9,0,0,0,0,0,1,0,1,50.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),41,0,0,0,0,0,0,0,41
Alex Anzalone,TB,2026-wk01,defense,34,LB,1,64,26,4,34,32.3,36.0,38.3,68.3,39.0,0,0,0,0,0,5,3,2,20.0,1,0,5,5,100.0,32,6.4,32,14,0,0,0,93.3,0 (0),7,49,0,7,1,0,0,0,7
