player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Bucky Irving,TB,2026-wk01,offense,07,HB,1,35,22,3,10,0,74.1,44.4,75.0,86.2,-,0 (0)
Emeka Egbuka,TB,2026-wk01,offense,02,WR,1,49,33,2,0,14,73.3,73.3,71.9,-,49.7,0 (0)
Payne Durham,TB,2026-wk01,offense,87,TE,1,7,1,2,0,4,72.2,56.6,72.9,-,70.3,0 (0)
Luke Goedeke,TB,2026-wk01,offense,67,T,1,57,0,39,0,18,66.8,-,63.8,-,66.7,0 (0)
Chris Godwin,TB,2026-wk01,offense,14,WR,1,49,35,0,1,13,63.0,64.5,-,59.2,45.9,0 (0)
Ted Hurst,TB,2026-wk01,offense,17,WR,1,43,31,0,0,12,61.4,61.1,-,-,58.8,0 (0)
Ben Bredeson,TB,2026-wk01,offense,68,G,1,57,0,39,0,18,61.4,-,38.9,-,69.2,0 (0)
Kenneth Gainwell,TB,2026-wk01,offense,01,HB,1,26,14,3,5,4,60.0,66.4,72.7,55.3,60.0,0 (0)
Ko Kieft,TB,2026-wk01,offense,41,TE,1,1,0,1,0,0,60.0,-,67.2,-,-,0 (0)
Bauer Sharp,TB,2026-wk01,offense,84,TE,1,1,1,0,0,0,59.3,60.0,-,-,-,0 (0)
Kameron Johnson,TB,2026-wk01,offense,19,WR,1,5,2,0,0,3,57.2,58.3,-,-,59.2,0 (0)
Cody Mauch,TB,2026-wk01,offense,69,G,1,57,0,39,0,18,57.1,-,68.0,-,51.1,1 (1)
Cade Otton,TB,2026-wk01,offense,88,TE,1,56,33,5,0,18,53.0,53.3,45.8,-,65.4,1 (0)
Graham Barton,TB,2026-wk01,offense,62,C,1,57,0,39,0,18,52.4,-,85.4,-,40.4,0 (0)
Baker Mayfield,TB,2026-wk01,offense,06,QB,1,57,39,0,1,17,50.2,55.1,-,49.0,60.0,1 (0)
Tristan Wirfs,TB,2026-wk01,offense,78,T,1,57,0,39,0,18,46.6,-,80.6,-,33.4,2 (0)
Tez Johnson,TB,2026-wk01,offense,15,WR,1,13,7,0,1,5,41.1,42.5,-,59.2,58.5,0 (0)
