player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Wan'Dale Robinson,TEN,2026-wk01,offense,04,WR,1,41,35,0,0,6,67.8,70.4,-,-,31.6,0 (0)
Dan Moore Jr.,TEN,2026-wk01,offense,75,T,1,50,0,40,0,10,67.8,-,55.1,-,81.7,0 (0)
Tony Pollard,TEN,2026-wk01,offense,20,HB,1,26,8,11,7,0,66.4,57.0,77.6,64.7,-,0 (0)
Peter Skoronski,TEN,2026-wk01,offense,77,G,1,50,0,40,0,10,65.0,-,67.1,-,61.5,0 (0)
Gunnar Helm,TEN,2026-wk01,offense,84,TE,1,38,23,7,0,8,62.3,61.7,61.6,-,59.4,0 (0)
Austin Schlottmann,TEN,2026-wk01,offense,51,C,1,50,0,40,0,10,62.1,-,72.0,-,56.1,0 (0)
Carnell Tate,TEN,2026-wk01,offense,14,WR,1,44,37,0,0,7,61.5,61.0,-,-,60.3,0 (0)
Fernando Carmona,TEN,2026-wk01,offense,66,G,1,50,0,40,0,10,61.4,-,57.4,-,61.4,0 (0)
Elic Ayomanor,TEN,2026-wk01,offense,05,WR,1,26,21,0,0,5,59.3,59.0,-,-,60.7,0 (0)
Chimere Dike,TEN,2026-wk01,offense,17,WR,1,4,3,0,0,1,59.3,59.2,-,-,60.0,0 (0)
Tyjae Spears,TEN,2026-wk01,offense,02,HB,1,25,14,8,3,0,57.1,48.6,83.6,57.3,-,0 (0)
Daniel Bellinger,TEN,2026-wk01,offense,82,TE,1,14,5,2,0,7,56.4,58.5,70.0,-,53.4,0 (0)
Cam Ward,TEN,2026-wk01,offense,01,QB,1,50,40,0,0,10,54.8,52.8,-,63.7,60.0,0 (0)
JC Latham,TEN,2026-wk01,offense,55,T,1,50,0,40,0,10,52.2,-,55.5,-,58.2,2 (0)
Calvin Ridley,TEN,2026-wk01,offense,00,WR,1,32,26,0,0,6,50.3,51.1,-,-,54.4,0 (0)
