player,team,season,side,jersey,pos,games,snaps_total,snaps_rundef,snaps_passrush,snaps_coverage,grade_def,grade_rundef,grade_tackling,grade_passrush,grade_coverage,pressures,sacks,qb_hits,hurries,batted,tackles,assists,missed_tackles,missed_tackle_pct,stops,forced_fumbles,targets,receptions,rec_pct,yards,yards_per_rec,yac,longest,tds_allowed,ints,pass_breakups,passer_rating_against,penalties,align_dl,align_box,align_fs,align_slot,align_corner,align_nt,align_dt,align_over_ot,align_outside_ot
Amik Robertson,WAS,2026-wk01,defense,02,CB,1,55,20,0,35,76.7,63.6,61.4,-,77.2,0,0,0,0,0,5,0,1,16.7,1,0,2,1,50.0,3,3.0,1,3,0,0,0,56.3,0 (0),4,2,0,3,46,0,0,0,4
Charles Omenihu,WAS,2026-wk01,defense,90,ED,1,29,7,22,0,67.0,47.8,-,74.5,-,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),29,0,0,0,0,1,17,7,4
Jordan Magee,WAS,2026-wk01,defense,58,LB,1,9,2,1,6,65.8,53.9,73.2,62.2,62.6,1,0,0,1,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),0,9,0,0,0,0,0,0,0
Tim Settle,WAS,2026-wk01,defense,97,DI,1,19,12,7,0,62.3,66.5,29.9,50.7,-,1,0,0,1,0,1,2,1,25.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),19,0,0,0,0,8,9,2,0
Javon Kinlaw,WAS,2026-wk01,defense,99,DI,1,32,16,16,0,62.0,67.2,28.6,51.5,-,1,0,0,1,0,2,0,0,0.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),32,0,0,0,0,0,20,4,8
Rasul Douglas,WAS,2026-wk01,defense,29,CB,1,17,1,0,16,58.9,60.0,72.5,-,58.6,0,0,0,0,0,1,0,0,0.0,0,0,4,1,25.0,31,31.0,0,31,0,0,1,59.4,0 (0),0,0,0,1,16,0,0,0,0
Leo Chenal,WAS,2026-wk01,defense,54,LB,1,23,10,1,12,55.0,40.6,31.5,68.2,66.1,0,0,0,0,0,3,0,1,25.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),0,22,0,1,0,0,0,0,0
Daron Payne,WAS,2026-wk01,defense,94,DI,1,34,13,21,0,54.2,57.4,69.6,53.9,-,4,0,0,4,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),34,0,0,0,0,2,14,13,5
Odafe Oweh,WAS,2026-wk01,defense,98,ED,1,46,16,27,3,53.7,52.6,73.6,55.2,62.5,1,1,0,0,0,1,1,0,0.0,2,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),46,0,0,0,0,0,0,0,46
Javontae Jean-Baptiste,WAS,2026-wk01,defense,41,ED,1,9,6,3,0,53.0,56.1,69.9,56.3,-,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),9,0,0,0,0,0,0,0,9
Jeremy Reaves,WAS,2026-wk01,defense,39,S,1,55,20,0,35,52.7,70.1,82.9,-,49.3,0,0,0,0,0,4,0,0,0.0,0,0,1,1,100.0,17,17.0,0,17,1,0,0,158.3,0 (0),5,12,35,3,0,0,0,0,5
Joshua Josephs,WAS,2026-wk01,defense,48,ED,1,13,4,8,1,50.6,56.3,-,52.7,60.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0 (0),13,0,0,0,0,0,0,0,13
Frankie Luvu,WAS,2026-wk01,defense,04,LB,1,29,10,4,15,49.8,44.0,77.6,66.7,56.4,2,1,0,1,0,0,2,0,0.0,1,0,2,2,100.0,13,6.5,3,8,0,0,0,93.8,0 (0),1,28,0,0,0,0,0,0,1
Sonny Styles,WAS,2026-wk01,defense,52,LB,1,48,16,8,24,48.6,41.9,29.2,71.4,52.8,2,1,0,1,0,2,1,2,40.0,3,0,2,1,50.0,43,43.0,29,43,1,0,0,135.4,0 (0),5,40,0,3,0,0,0,0,5
Nick Cross,WAS,2026-wk01,defense,25,S,1,54,19,2,33,48.4,65.6,70.7,51.4,47.1,1,0,0,1,0,5,2,1,12.5,5,0,3,3,100.0,4,1.3,6,12,0,0,0,79.2,0 (0),3,11,21,18,1,0,0,0,3
Shy Tuttle,WAS,2026-wk01,defense,96,DI,1,16,7,9,0,40.9,44.7,66.8,54.4,-,0,0,0,0,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0.0,0,0,0,0 (0),16,0,0,0,0,1,15,0,0
Quan Martin,WAS,2026-wk01,defense,20,S,1,21,8,0,13,39.9,54.8,30.0,-,50.0,0,0,0,0,0,2,0,1,33.3,2,0,2,2,100.0,9,4.5,3,12,0,0,0,85.4,0 (0),0,1,19,1,0,0,0,0,0
K'Lavon Chaisson,WAS,2026-wk01,defense,45,ED,1,42,14,22,6,37.3,51.6,21.7,52.2,36.5,3,0,2,1,0,0,0,1,100.0,0,0,2,1,50.0,10,10.0,4,10,0,0,0,64.6,0 (0),40,1,0,1,0,0,0,0,40
Mike Sainristil,WAS,2026-wk01,defense,00,CB,1,54,19,1,34,30.0,55.8,44.7,58.8,29.3,0,0,0,0,0,4,0,1,20.0,1,0,3,2,66.7,73,36.5,21,64,1,0,0,149.3,0 (0),2,7,2,11,32,0,0,0,2
