player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Antonio Williams,WAS,2026-wk01,offense,14,WR,1,26,12,0,0,14,91.2,90.8,-,-,60.5,0 (0)
Sam Cosmi,WAS,2026-wk01,offense,76,G,1,70,0,41,0,29,80.5,-,79.5,-,76.2,0 (0)
Jayden Daniels,WAS,2026-wk01,offense,05,QB,1,70,41,0,2,27,73.5,70.5,-,79.3,60.0,2 (0)
Josh Conerly Jr.,WAS,2026-wk01,offense,72,T,1,70,1,40,0,29,67.6,58.8,78.4,-,66.0,1 (0)
Chigoziem Okonkwo,WAS,2026-wk01,offense,85,TE,1,39,23,0,0,16,63.4,60.9,-,-,63.3,0 (0)
Stefon Diggs,WAS,2026-wk01,offense,03,WR,1,44,28,0,0,16,61.0,63.9,-,-,59.0,1 (0)
Kaytron Allen,WAS,2026-wk01,offense,31,HB,1,7,1,2,4,0,60.6,58.8,78.5,59.8,-,0 (0)
Andrew Wylie,WAS,2026-wk01,offense,71,G,1,1,0,0,0,1,60.0,-,-,-,56.3,0 (0)
John Bates,WAS,2026-wk01,offense,87,TE,1,34,11,5,0,18,59.7,55.1,77.0,-,60.1,0 (0)
Jaylin Lane,WAS,2026-wk01,offense,83,WR,1,18,9,0,0,9,56.0,56.0,-,-,58.9,0 (0)
Brandon Coleman,WAS,2026-wk01,offense,74,T,1,70,0,41,0,29,55.9,-,49.7,-,64.3,1 (0)
Rachaad White,WAS,2026-wk01,offense,01,HB,1,29,16,5,7,1,53.4,57.9,66.0,51.5,60.0,0 (0)
Ben Sinnott,WAS,2026-wk01,offense,82,TE,1,18,10,1,0,7,52.4,50.5,73.4,-,59.1,0 (0)
Chris Paul,WAS,2026-wk01,offense,75,G,1,70,0,41,0,29,50.6,-,32.1,-,56.6,0 (0)
Terry McLaurin,WAS,2026-wk01,offense,17,WR,1,61,38,0,0,23,49.5,49.2,-,-,60.7,0 (0)
Dyami Brown,WAS,2026-wk01,offense,06,WR,1,37,25,0,0,12,47.6,48.3,-,-,53.9,0 (0)
Jacory Croskey-Merritt,WAS,2026-wk01,offense,22,HB,1,34,13,4,16,1,46.3,55.3,26.3,48.9,60.0,1 (0)
Colson Yankoff,WAS,2026-wk01,offense,80,TE,1,2,2,0,0,0,45.1,58.9,0.0,-,-,0 (0)
Nick Allegretti,WAS,2026-wk01,offense,67,C,1,70,0,41,0,29,42.9,-,47.3,-,42.1,0 (0)
