player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Dalton Kincaid,BUF,2026-thru-wk02,offense,86,TE,2,91,52,5,0,34,91.7,91.0,56.2,-,73.8,0 (0)
Josh Allen,BUF,2026-thru-wk02,offense,17,QB,2,131,79,0,14,38,85.6,76.4,-,88.2,60.0,0 (0)
Khalil Shakir,BUF,2026-thru-wk02,offense,10,WR,2,66,46,1,0,19,78.4,76.3,69.6,-,73.2,0 (0)
Jackson Hawes,BUF,2026-thru-wk02,offense,85,TE,2,61,10,15,0,36,73.8,47.7,71.2,-,76.4,0 (0)
Dion Dawkins,BUF,2026-thru-wk02,offense,73,T,2,131,0,79,0,52,70.8,-,83.1,-,62.0,1 (1)
Keon Coleman,BUF,2026-thru-wk02,offense,00,WR,2,84,51,1,0,32,70.2,69.9,62.4,-,53.2,0 (0)
Dawson Knox,BUF,2026-thru-wk02,offense,88,TE,2,94,35,18,0,41,68.3,57.0,57.1,-,78.5,1 (0)
Connor McGovern,BUF,2026-thru-wk02,offense,66,C,2,131,0,79,0,52,67.8,-,66.6,-,66.6,1 (1)
DJ Moore,BUF,2026-thru-wk02,offense,02,WR,2,66,42,1,1,22,66.4,67.7,60.5,56.6,57.2,0 (0)
Alec Anderson,BUF,2026-thru-wk02,offense,70,G,2,131,0,79,0,52,63.9,-,62.1,-,62.1,1 (0)
Frank Gore Jr.,BUF,2026-thru-wk02,offense,20,HB,2,19,8,7,1,3,62.5,53.4,72.1,59.1,60.0,0 (0)
Joshua Palmer,BUF,2026-thru-wk02,offense,05,WR,2,46,34,0,0,12,62.0,61.6,-,-,59.8,0 (0)
Tylan Grable,BUF,2026-thru-wk02,offense,68,T,2,3,0,2,0,1,60.0,-,73.7,-,60.0,0 (0)
James Cook,BUF,2026-thru-wk02,offense,04,HB,2,96,43,9,35,9,60.0,41.2,83.2,63.9,58.4,0 (0)
Greg Dortch,BUF,2026-thru-wk02,offense,19,WR,1,4,0,0,0,4,60.0,-,-,-,60.0,0 (0)
Spencer Brown,BUF,2026-thru-wk02,offense,79,T,2,131,0,79,0,52,58.1,-,42.3,-,67.5,0 (0)
Ray Davis,BUF,2026-thru-wk02,offense,07,HB,2,15,7,3,1,4,57.9,54.7,81.2,59.3,60.0,0 (0)
Keleki Latu,BUF,2026-thru-wk02,offense,83,TE,2,10,3,2,0,5,56.0,54.6,68.9,-,60.0,0 (0)
O'Cyrus Torrence,BUF,2026-thru-wk02,offense,64,G,2,131,0,79,0,52,46.5,-,62.8,-,44.6,1 (0)
