player,team,season,side,jersey,pos,games,snaps_total,snaps_pass,snaps_passblock,snaps_run,snaps_runblock,grade_off,grade_pass,grade_passblock,grade_run,grade_runblock,penalties
Jahmyr Gibbs,DET,2026-thru-wk02,offense,00,HB,2,111,49,11,50,1,85.2,86.5,81.6,78.7,60.0,0 (0)
Amon-Ra St. Brown,DET,2026-thru-wk02,offense,14,WR,2,131,84,0,0,47,80.9,81.1,-,-,51.8,0 (0)
Christian Mahogany,DET,2026-thru-wk02,offense,73,G,1,11,0,5,0,6,76.8,-,77.5,-,72.6,0 (0)
Jared Goff,DET,2026-thru-wk02,offense,16,QB,2,142,87,0,2,53,76.4,76.7,-,50.9,60.0,1 (0)
Blake Miller,DET,2026-thru-wk02,offense,76,T,1,77,0,41,0,36,74.7,-,78.4,-,69.3,0 (0)
Sam LaPorta,DET,2026-thru-wk02,offense,87,TE,2,126,76,4,0,46,72.8,75.1,73.7,-,57.0,0 (0)
Penei Sewell,DET,2026-thru-wk02,offense,58,T,2,142,0,87,0,55,70.0,-,63.0,-,75.7,1 (0)
Tate Ratledge,DET,2026-thru-wk02,offense,69,G,2,142,0,87,0,55,66.5,-,61.5,-,65.3,1 (0)
Sione Vaki,DET,2026-thru-wk02,offense,33,HB,2,33,24,5,3,1,62.2,68.3,67.0,57.7,60.0,0 (0)
Juice Scruggs,DET,2026-thru-wk02,offense,70,C,2,142,0,87,0,55,61.4,-,64.6,-,63.1,1 (0)
Jackson Meeks,DET,2026-thru-wk02,offense,13,WR,1,1,1,0,0,0,58.8,58.1,-,-,-,0 (0)
Jameson Williams,DET,2026-thru-wk02,offense,01,WR,2,128,83,0,0,45,54.4,56.7,-,60.0,60.7,0 (0)
Brock Wright,DET,2026-thru-wk02,offense,89,TE,2,56,12,13,0,31,53.5,49.7,43.4,-,60.4,0 (0)
Isaac TeSlaa,DET,2026-thru-wk02,offense,18,WR,2,101,68,0,0,33,51.7,52.2,-,-,50.5,0 (0)
Ben Bartch,DET,2026-thru-wk02,offense,78,G,2,131,0,82,0,49,48.0,-,25.1,-,58.0,1 (0)
Tyler Conklin,DET,2026-thru-wk02,offense,83,TE,2,14,4,0,0,10,42.9,51.7,-,-,44.5,0 (0)
Larry Borom,DET,2026-thru-wk02,offense,79,T,2,74,0,47,0,27,34.6,-,36.4,-,48.7,3 (0)
